"cell_id";"czi";"series_id";"cell_seg_id";"condition";"cell_type";"structure";"scope";"minipipeline";"dna_volume";"dna_shape_1st_axis_x";"dna_shape_1st_axis_y";"dna_shape_1st_axis_z";"dna_shape_2nd_axis_x";"dna_shape_2nd_axis_y";"dna_shape_2nd_axis_z";"dna_shape_3rd_axis_x";"dna_shape_3rd_axis_y";"dna_shape_3rd_axis_z";"dna_shape_1st_axis_length";"dna_shape_2nd_axis_length";"dna_shape_3rd_axis_length";"dna_shape_1st_eigenvalue";"dna_shape_2nd_eigenvalue";"dna_shape_3rd_eigenvalue";"dna_shape_meridional_eccentricity";"dna_shape_equator_eccentricity";"dna_position_lowest_z";"dna_position_highest_z";"dna_position_x_centroid";"dna_position_y_centroid";"dna_position_z_centroid";"dna_intensity_mean";"dna_intensity_median";"dna_intensity_sum";"dna_intensity_mode";"dna_intensity_max";"dna_intensity_std";"dna_intensity_entropy";"dna_texture_haralick_ang2nd_moment";"dna_texture_haralick_contrast";"dna_texture_haralick_corr";"dna_texture_haralick_variance";"dna_texture_haralick_inv_diff_moment";"dna_texture_haralick_sum_mean";"dna_texture_haralick_sum_var";"dna_texture_haralick_sum_entropy";"dna_texture_haralick_entropy";"dna_texture_haralick_diff_var";"dna_texture_haralick_diff_entropy";"dna_texture_haralick_info_corr1";"dna_texture_haralick_info_corr2";"dna_io_intensity_outer_volume";"dna_io_intensity_outer_mean";"dna_io_intensity_outer_slice_mean";"dna_io_intensity_mid_volume";"dna_io_intensity_mid_mean";"dna_io_intensity_mid_slice_mean";"dna_io_intensity_inner_volume";"dna_io_intensity_inner_mean";"dna_io_intensity_inner_slice_mean";"dna_bright_spots_number";"dna_bright_spots_number_used";"dna_bright_spots_intensity_mean";"dna_bright_spots_xy_cross_sec_area_mean";"dna_bright_spots_xy_cross_sec_area_std";"dna_surface_area";"dna_roundness_sphericity";"dna_roundness_roughness";"dna_roundness_roughness_xy";"dna_roundness_roughness_xz";"dna_roundness_roughness_yz";"valid";"dna_io_intensity_ratio";"dna_io_intensity_ratio_slice";"dna_bright_spots_intensity_mean_norm";"dna_bright_spots_xy_rad";"date";"group";"outlier"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_1";"20181005_R01_001.czi";0;1;"TSA";"hiPS";"H2B";"ZSD";"no";780984;0.961184710771028;0.275892006915235;-0.00274814488305775;0.275886970693025;-0.960955770907759;0.0212222939594505;-0.00321421558715291;0.0211567218481245;0.999771004749988;192.461315065545;131.170211390078;45.7539464767579;140.513164920116;964.833285834948;2267.66053108294;0.998078389217638;0.989338438855665;0;44;99.8192741464614;66.2752578798029;20.3343845712588;755.074020722576;779;589700729;783;1967;162.033306635317;6.0480440802073;0.00122994980632899;104.653909029456;0.792343431391692;258.136113420189;0.172317230274344;145.27874304302;927.890544651299;6.71781417197789;10.5446651992265;0.00029053406970116;4.12805220401162;-0.168711955719781;0.914079093623288;123881;675.987415342143;795.381477398015;104422;784.696845492329;793.173534532792;401687;810.562121751513;827.365092689752;17;17;1320.07639198556;18.4705882352941;8.1682141979377;67252;0.900996071076532;19.2889818186258;11.7495512268058;25.4545489950147;16.0433915594066;TRUE;0.861463148762908;1.00278368196756;1.74827415029099;2.42474139629861;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_3";"20181005_R01_001.czi";0;3;"TSA";"hiPS";"H2B";"ZSD";"no";813240;0.454411903463962;0.89079019621384;-0.0016273658367118;0.890790567003265;-0.454413467444106;-0.000752557921549232;0.00140986817125941;0.00110767085880818;0.999998392667212;170.976983033038;146.852448345154;44.0824036707247;144.809078278974;1272.42072662057;1777.63078646323;0.996676461193069;0.993502994768096;0;44;75.9485379469775;87.3270805666224;22.9869730952732;942.31355196498;984;766327073;998;1977;231.451237632058;6.54257598926711;0.000453557574989048;160.052796824521;0.854772473612973;561.769936068169;0.128058112979771;190.379383735644;2087.02694744816;7.50094475127839;11.8087698567353;0.000209411293234243;4.5313742994822;-0.191831412196575;0.952154921133693;137035;794.501120151786;969.3726443769;113013;1006.06274499394;1010.83050847458;397436;1034.01628438289;1068.65779467681;22;20;1487.93790122505;28.7;17.8916181492899;67846;0.92070418919583;17.2458467725359;4.96605760919771;19.4307145681714;22.0838988202158;TRUE;0.789713289857058;0.958986334751372;1.57902632103964;3.02249792944094;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_5";"20181005_R01_001.czi";0;5;"TSA";"hiPS";"H2B";"ZSD";"no";474633;0.980607109440495;-0.19024749289443;-0.0470700367765054;-0.190739902131431;-0.981621288311125;-0.00615922635560796;0.0450331727690816;-0.0150179153610358;0.99887260227146;162.155491292644;106.312403090795;46.5993940517946;131.732105312057;563.371163868351;1500.69858472002;0.996139839548781;0.972277912723704;0;44;74.5637218651042;51.9267117962721;20.2812235980221;885.293085394399;929;420189313;943;1850;212.35116735299;6.38360693053852;0.000541637165059481;190.07948123967;0.812369852113324;524.013143521787;0.130180098122896;200.164433664913;1905.97309284747;7.33391560024234;11.590560271202;0.000211329716584021;4.55468338188104;-0.180468792931705;0.940772674327317;91631;775.657561305672;921.971850809289;70756;965.522655322517;975.722306525038;203246;971.024733574092;993.016042125888;9;9;1368.40202077516;34.6666666666667;15.6489261257407;46914;0.930181945009592;15.0936783651727;10.6713833058115;20.2212144125625;10.4881136148109;TRUE;0.803355112414815;0.944912138057828;1.54570508157254;3.32185832344459;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_7";"20181005_R01_001.czi";0;7;"TSA";"hiPS";"H2B";"ZSD";"no";538312;0.485301626081428;0.874224786406368;-0.0146066613386551;0.87427160591493;-0.484973075238627;0.0212196933182093;-0.0114669443903434;0.0230681409378777;0.999668129961148;145.830525368014;117.803362734032;51.0123922490576;167.321710778743;734.186338822937;1141.57022241715;0.989200071932408;0.973684338011587;0;50;61.4618418315029;68.5417155850139;24.193841118162;885.778202975226;938;476825036;965;1870;233.995696655509;6.42793357426371;0.000532621323235075;186.72809598711;0.824911759124257;548.619650799185;0.129718610669562;200.343171488319;2007.75050720963;7.36423794929319;11.6334016609903;0.000209213708421941;4.56851434212459;-0.182520681570323;0.943213421600717;117966;772.218562975773;965.872521246459;91877;979.133330430902;977.332820906995;187943;997.092889865544;997.774478614351;12;12;1490.63567330817;16.8333333333333;5.58022301426107;49136;0.974332164009684;12.0673919750462;5.00606380242266;12.7366392977839;14.8006297000267;TRUE;0.788675596035456;0.988273902794035;1.68285431759474;2.31478215334125;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_8";"20181005_R01_001.czi";0;8;"TSA";"hiPS";"H2B";"ZSD";"no";814540;0.91289982629279;0.408027245526854;-0.011299294772807;0.407947430980164;-0.912963507433264;-0.00874800844977946;0.0138852695789134;-0.00337653711975731;0.999897893930075;168.916393589091;130.325107285656;56.3641328329473;211.599743791685;915.551460300179;1666.8937970297;0.991910071437577;0.972925902978436;0;55;82.7784896997078;69.1797517617305;26.8740196920962;946.82042011442;994;771223105;1038;2245;233.451602231213;6.42913859979532;0.000751730597784488;125.975173140216;0.832107837391674;382.820661687679;0.150515874603307;171.042873103153;1405.3074736105;7.10649657067798;11.1541026480106;0.00024989308748607;4.31672451103789;-0.18446615324471;0.938662095836217;151999;817.228646241094;1028.8758934373;127232;1022.6201584507;1029.56036745407;350340;1043.05343095279;1040.38869487533;17;17;1529.1752627637;77.5294117647059;161.746031007604;65532;0.961447108835635;14.787191051791;6.92261791648983;18.9370082494407;14.1206011940908;TRUE;0.799151707980425;0.999335178355336;1.61506367023527;4.96773371213874;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_9";"20181005_R01_001.czi";0;9;"TSA";"hiPS";"H2B";"ZSD";"no";736304;0.342791379139708;0.938909869045193;-0.0306973646594466;0.936013439651913;-0.344145890283432;-0.0737729421401831;0.0798305153339982;0.00344441730371047;0.996802500403639;192.195625709582;127.744117524836;51.8481012511337;145.998758968427;836.028827841554;2265.12343139402;0.997920608058608;0.984633480592956;0;47;64.8466964731958;96.779930572155;22.4867310241422;862.918992698668;905;635370706;920;2339;215.516872194252;6.34828804996649;0.00106264784563153;104.592243257214;0.831628054022747;321.431400219296;0.175584460804496;150.838990365099;1181.13335761997;6.90378658314818;10.684806934762;0.000294538402169674;4.11655030059628;-0.20037172490541;0.945015279508749;142702;748.222968143404;876.70136239782;119913;938.490563992228;963.61229178633;300153;955.35727112506;964.566009581403;15;15;1559.27764707858;20.4;12.6216744795081;66228;0.885393145778327;19.1316091715765;14.3960528282183;14.0727811951035;23.2195801344794;TRUE;0.797262110937538;0.909807159861571;1.80698033102984;2.54823893662846;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-01-P14-A01_seg_0_cid_12";"20181005_R01_001.czi";0;12;"TSA";"hiPS";"H2B";"ZSD";"no";493132;0.990621379601845;0.136339875094323;0.00898447188214464;0.136571887408145;-0.986009149992255;-0.0955723584585428;0.00417155193106482;-0.0959030478703137;0.995381938535993;148.674726884839;93.5720424292262;54.738176700785;180.608105181617;487.196427265028;1338.06833886663;0.990848767003854;0.928749067280186;0;52;73.4738710933381;51.2083620612737;25.1933964942449;811.175435785956;853;400016565;879;1714;196.030332389663;6.20208374635606;0.000653337394577854;188.548251804462;0.793582620322029;473.922945652204;0.135484752606569;197.791915003442;1707.14353080435;7.18157234261406;11.3771767151892;0.000219284180604168;4.51971588896808;-0.1706963761473;0.929017859836474;106728;732.80774492167;873.254643962848;83219;881.307237529891;893.363921568627;175734;895.337703574721;898.570474467789;8;8;1334.92154898819;80.375;166.22946301724;46244;0.974956542684893;12.8981129138512;10.8501090436967;17.1130137223202;7.30136937959352;TRUE;0.831500881549059;0.97749038536225;1.64566318221257;5.05807840014587;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-02-P15-A01_seg_0_cid_1";"20181005_R01_001.czi";1;1;"TSA";"hiPS";"H2B";"ZSD";"no";603424;0.792645590254464;0.60517844215353;0.0739731127016987;0.602264107584842;-0.796085893393245;0.0593733530745366;-0.0948204248312905;0.00251067578659127;0.995491227255122;160.976092098796;122.681498813945;54.2888668729183;148.94769068455;815.442458872629;1492.80089374804;0.995009790896035;0.983176375492643;0;52;73.8766737816196;71.4442713581164;23.7629593784801;812.543137163918;860;490308030;878;1690;209.40570196762;6.29614888248284;0.000598527574486099;223.251995989435;0.791462524298566;561.432132260024;0.135286570535743;218.624643169877;2022.47653305066;7.2928939972255;11.5116278700503;0.000215691353987423;4.57247506089549;-0.180355804200548;0.938997796080858;139481;732.667137459582;875.829252150893;107585;902.557438304596;892.059447983015;190800;899.713176100629;889.041052212037;12;12;1315.20333794762;19.6666666666667;11.4697670227235;56848;0.910421984567341;14.8568114507729;7.35041647639969;17.5794035960122;15.1911008213432;TRUE;0.811767879101253;0.981805925749883;1.618625864638;2.50201807113402;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-02-P15-A01_seg_0_cid_3";"20181005_R01_001.czi";1;3;"TSA";"hiPS";"H2B";"ZSD";"no";644412;-0.0243756815746135;-0.999595339078885;0.0146623408616169;0.9968102772899;-0.0231876241477244;0.0763649472966224;-0.0759940605376838;0.0164770196987516;0.996972121267612;160.354774499123;133.301340015822;50.5962540367663;149.238939925827;922.906728144504;1473.60346441504;0.994858486854402;0.986839087813286;0;47;67.2381256090824;77.7467520778632;22.1734278691272;1044.7245613055;1092;673233044;1108;2391;264.464526588865;6.65208469953901;0.000594843433760483;140.188902114954;0.860008708936703;511.183068635057;0.143972680214249;180.321237346826;1904.54337242527;7.35195231331912;11.459068447248;0.000237033110708654;4.38614366820465;-0.204129093714268;0.956652938053035;115933;879.036038056464;1071.81042345277;94585;1136.66495744568;1152.10047522064;293744;1155.04481453238;1168.66170440364;13;13;1807.04656162912;68.4615384615385;132.218708896466;57610;0.929983450668131;14.8393787247724;5.60972756779556;15.312992702007;20.1680175691696;TRUE;0.773346650917994;0.930309852747441;1.72968706638908;4.66818856899114;"D20181005";"H2B TSA";"no"
"20181005_R01_001-Scene-02-P15-A01_seg_0_cid_4";"20181005_R01_001.czi";1;4;"TSA";"hiPS";"H2B";"ZSD";"no";636539;0.484836158590643;0.874397899150577;-0.0190319017474861;0.874302928656961;-0.483982078215694;0.036820332805104;-0.0229845222906629;0.0344914761509943;0.999140655667657;142.886655648809;126.643199388762;57.0795830875024;198.130227553774;864.87256404617;1138.6422735099;0.984744648099207;0.973406178323252;0;55;64.3649517154487;67.9158386210429;26.5414782126468;1076.25255326068;1137;685076724;1174;2772;277.79790497716;6.60757861381877;0.00091317685937848;115.537036790905;0.842546014059276;375.759653781222;0.164555002632078;160.119260321963;1387.50157833398;7.02584849989348;10.94076932527;0.00027258181590909;4.22297976392665;-0.196183756693288;0.945370932996726;129994;934.685670107851;1192.84604519774;104426;1190.03247275583;1223.25375375375;245334;1192.07256230282;1188.18622635594;22;15;1940.32721001221;16.0666666666667;8.37031792838374;55272;0.968753065819751;11.8416984634554;3.82343311638427;13.6772447150972;15.4883004344121;TRUE;0.785428710145485;0.975141945436339;1.80285491926005;2.26145502675149;"D20181005";"H2B TSA";"no"
