"cell_id";"czi";"series_id";"cell_seg_id";"condition";"cell_type";"structure";"scope";"minipipeline";"dna_bright_spots_intensity_mean";"dna_bright_spots_number";"dna_bright_spots_number_used";"dna_bright_spots_xy_cross_sec_area_mean";"dna_bright_spots_xy_cross_sec_area_std";"dna_intensity_entropy";"dna_intensity_max";"dna_intensity_mean";"dna_intensity_median";"dna_intensity_mode";"dna_intensity_std";"dna_intensity_sum";"dna_io_intensity_inner_mean";"dna_io_intensity_inner_slice_mean";"dna_io_intensity_inner_volume";"dna_io_intensity_mid_mean";"dna_io_intensity_mid_slice_mean";"dna_io_intensity_mid_volume";"dna_io_intensity_outer_mean";"dna_io_intensity_outer_slice_mean";"dna_io_intensity_outer_volume";"dna_position_highest_z";"dna_position_lowest_z";"dna_position_x_centroid";"dna_position_y_centroid";"dna_position_z_centroid";"dna_roundness_roughness";"dna_roundness_roughness_xy";"dna_roundness_roughness_xz";"dna_roundness_roughness_yz";"dna_roundness_sphericity";"dna_shape_1st_axis_length";"dna_shape_1st_axis_x";"dna_shape_1st_axis_y";"dna_shape_1st_axis_z";"dna_shape_1st_eigenvalue";"dna_shape_2nd_axis_length";"dna_shape_2nd_axis_x";"dna_shape_2nd_axis_y";"dna_shape_2nd_axis_z";"dna_shape_2nd_eigenvalue";"dna_shape_3rd_axis_length";"dna_shape_3rd_axis_x";"dna_shape_3rd_axis_y";"dna_shape_3rd_axis_z";"dna_shape_3rd_eigenvalue";"dna_shape_equator_eccentricity";"dna_shape_meridional_eccentricity";"dna_surface_area";"dna_texture_distance_used";"dna_texture_haralick_ang2nd_moment";"dna_texture_haralick_contrast";"dna_texture_haralick_corr";"dna_texture_haralick_diff_entropy";"dna_texture_haralick_diff_var";"dna_texture_haralick_entropy";"dna_texture_haralick_info_corr1";"dna_texture_haralick_info_corr2";"dna_texture_haralick_inv_diff_moment";"dna_texture_haralick_sum_entropy";"dna_texture_haralick_sum_mean";"dna_texture_haralick_sum_var";"dna_texture_haralick_variance";"dna_volume";"group";"dna_io_intensity_ratio";"dna_io_intensity_ratio_slice";"dna_bright_spots_intensity_mean_norm"
"20181107_R04-Scene-01-P51-B04_seg_0_cid_1";"20181107_R04.czi";0;1;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";797.297067343994;6;6;122;88.0075754315123;6.10465210064491;911;586.274220369752;623;683;159.892247837995;300025246;675.049125163325;697.854456562618;136997;666.728102462818;688.794684854186;100251;511.056584576437;643.816226183159;124822;41;0;71.5012281411395;85.2176281731865;17.3451379484865;17.827126054473;11.196447775724;15.5639638387667;21.3226494116923;0.842921372051794;176.370969200996;0.447064399296931;-0.894263507615937;0.0206446561539743;95.210439086248;113.970874076071;-0.890596374314673;-0.447148264542306;-0.0830453344527072;780.87225249538;41.576063186334;-0.0834956342501388;-0.0187405566418096;0.996331907848947;1819.16962081788;0.992538908887134;0.998629463958974;54576;"[1, 4, 7, 10]";"[0.00022754081832190967, 0.00012969617632158353, 0.00011053649636738238, 0.00010254125498727363]";"[437.7800490797066, 1255.2416796219347, 2059.846963514336, 2706.521203626151]";"[0.833585277110733, 0.5121780297628067, 0.24529040754702464, 0.07657265092722762]";"[5.069453571504292, 5.990640590186519, 6.375379050762761, 6.574194283588873]";"[0.0001471633566647148, 6.868300213451612e-05, 4.895474287861368e-05, 4.057950355353146e-05]";"[12.663376713725357, 13.444125985841442, 13.679156191068891, 13.778509192647487]";"[-0.19862033839133325, -0.07192979905005574, -0.04105652767227115, -0.03665496190261165]";"[0.9638752484850185, 0.7444869408942763, 0.5622816468636777, 0.5696498320846263]";"[0.09665069066090608, 0.049609452175729145, 0.03883739442190231, 0.034047019787113116]";"[8.002960507890723, 7.851992444992557, 7.725651129048912, 7.639678207675822]";"[309.6459194032642, 315.24757651703294, 317.1808789025442, 315.9775574041851]";"[5074.977649269688, 4116.101740514477, 3526.3029018097072, 3171.2882998588634]";"[1378.189424587352, 1342.8358550341059, 1396.5374663310176, 1469.4523758712542]";644.656356288;"H2B TSA-50um 20181107_R04.czi";0.766514239745785;0.934699759362184;1.35993881300316
"20181107_R04-Scene-01-P51-B04_seg_0_cid_2";"20181107_R04.czi";0;2;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";937.434948728754;3;3;58.3333333333333;39.6848697728604;5.99830898529496;1248;611.18012421039;645;685;145.319533965601;574618718;682.370932380771;676.975674895337;382687;665.710855634635;676.453731343284;152308;525.62007137119;601.902756892231;182987;60;0;84.7933436079725;83.464433900353;29.0497181919613;16.6093067619748;2.9165059911514;21.1320618897665;19.1726257731579;0.878004150121572;171.285892198496;0.985550046242817;0.165182244787615;-0.0374957645302321;203.512499673858;161.066509030986;0.167733512617236;-0.98256347995786;0.0802151893233652;1305.5512512961;64.4916010313209;0.0235918438420084;0.0853453798399434;0.996072081249199;1731.12794820698;0.987775616455127;0.993065706415821;79008;"[1, 4, 7, 10]";"[0.0005592964663124912, 0.00034524608064565477, 0.000301302444598094, 0.0002826354339052055]";"[174.8540766884435, 444.53192330473615, 654.8730700120329, 804.6029754191313]";"[0.8282152067615081, 0.5441523252739876, 0.3383669173577678, 0.21158179807347072]";"[4.4446841252562805, 5.251575219608341, 5.56591725035511, 5.722723949267485]";"[0.0002305232209896304, 0.00012231225332710776, 9.48323765177826e-05, 8.328275236642276e-05]";"[11.455491639995133, 12.146462909146967, 12.353365470158861, 12.44326515163494]";"[-0.19818319156208458, -0.07044854428180237, -0.03366166253430687, -0.02186032148975479]";"[0.9531530032924463, 0.7375575225999076, 0.5171814759176347, 0.4059329135262835]";"[0.1413731252059123, 0.08161473701123279, 0.06676677096789065, 0.060282267938525966]";"[7.329468947416789, 7.17983009607415, 7.080323425448814, 7.024307295752046]";"[217.30796806652367, 220.2057378357273, 221.45155856087962, 221.5566903963739]";"[1930.6524958080336, 1559.4982856131173, 1356.5875695273, 1247.9898154921875]";"[526.3766431241194, 501.0075522294627, 502.86515988483063, 513.148197727832]";1184.354768448;"H2B TSA-50um 20181107_R04.czi";0.789562115327241;0.88979146540738;1.53381124744504
"20181107_R04-Scene-02-P52-B04_seg_0_cid_1";"20181107_R04.czi";1;1;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";587.124567474048;1;1;289;0;5.71251821119961;668;434.848331346841;455;416;119.12353131367;410077631;519.365091963009;533.356370474847;253254;475.121476182526;486.338949057361;155726;397.397822478975;402.845405405405;250652;76;0;140.741805190894;80.835174903185;29.3734385537774;25.1703635661202;21.8218157472968;24.9681457191647;12.0767235680679;0.616419378341925;249.33881050687;0.953690439678104;0.29655660238921;0.0502864479353218;363.576275332089;157.208116261205;0.296993489839831;-0.954878648196914;-0.00127836238676219;850.463039552551;80.4546641314296;-0.0476383486210642;-0.0161539096506594;0.998734018116764;2717.97660372394;0.904013498969207;0.991012775351178;112878;"[1, 4, 7, 10]";"[0.0005893900871756957, 0.00041100117305106033, 0.0003401700162726018, 0.00029449950097300975]";"[528.1214881991167, 1245.7177894913864, 1668.3258162251525, 2003.2435767467446]";"[0.8046320556690156, 0.5500231609823175, 0.43590726054180295, 0.35663952982485964]";"[4.646637091599867, 5.370779773802193, 5.729528703524265, 5.95927649454604]";"[0.00023225213276627536, 0.0001461797816474423, 0.00011135558832932954, 9.248704584499327e-05]";"[11.735203777701072, 12.3184324005957, 12.615756450809139, 12.80928368605575]";"[-0.26422365597494524, -0.16517697985997717, -0.12875887951143272, -0.10715978850620776]";"[0.9832523114038852, 0.9361916819153387, 0.8925241212791938, 0.8527090236336752]";"[0.16178843230961482, 0.1173226696648805, 0.09823199316109091, 0.08620145334714426]";"[7.779068389306776, 7.75457572860859, 7.742906772911538, 7.723709004041525]";"[334.1999551345233, 338.0388358148227, 339.32322566401575, 339.95238103342524]";"[5146.3658070682, 4408.039614372727, 4244.366245552615, 4148.388183018644]";"[1418.6218238168262, 1413.4393509660274, 1478.1730154444422, 1537.9079399413486]";1187.953765632;"H2B TSA-50um 20181107_R04.czi";0.836413090967725;0.828322317565177;1.35018240878507
"20181107_R04-Scene-03-P53-B04_seg_0_cid_1";"20181107_R04.czi";2;1;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";545.63453815261;1;1;249;0;5.12641794725942;626;449.517075519674;477;476;101.726941433277;582511647;493.769179748999;492.68802845647;423663;489.866645869349;483.427167113494;230799;418.668627189336;434.964223079621;292269;71;0;115.022680673313;110.629144638198;29.7049135671187;28.9658759137081;26.1051592163512;27.2445024537402;18.3566168436334;0.727549906187294;269.021992557909;0.809989250233176;0.583379481288969;-0.0598815106498685;199.611555500586;147.928346375765;0.584135856782355;-0.811635151365952;-0.00580360993798145;1170.14538768656;71.1524550954523;0.051987645915551;0.0302780758665713;0.998188620849776;4596.81064084119;0.985342623585363;0.999056736543117;118498;"[1, 4, 7, 10]";"[0.0007859125181987153, 0.0005636347755622247, 0.0005038737946398443, 0.00047528294871307554]";"[523.9545471983209, 1239.9710413668724, 1571.6533473226661, 1839.6949675787441]";"[0.7453067994629359, 0.3612656402441168, 0.228656289106854, 0.14580348595712106]";"[4.670286592314748, 5.295377957448218, 5.557552583970587, 5.721654417515003]";"[0.0002110540820742665, 0.00013713569505993255, 0.00011247547940651809, 9.930400925468877e-05]";"[11.137881218270435, 11.600731517161062, 11.774839016915221, 11.8702781513465]";"[-0.1645471532298264, -0.05919594348787363, -0.03068256305457791, -0.02099440819918525]";"[0.9164488704563633, 0.6720528570187716, 0.46802948690634266, 0.37717675071212164]";"[0.13727084118153512, 0.095232361699045, 0.08041549031346475, 0.07247364958435029]";"[7.05956382632588, 6.975867790419323, 6.91502399775742, 6.884256170072358]";"[365.7667771580294, 369.26099932145513, 369.93276793909365, 369.54990940696086]";"[3923.4001513938397, 2902.2512065124533, 2643.266206004829, 2521.3610516290087]";"[1111.8386746480392, 1035.5555619698307, 1053.729888331871, 1090.264004801943]";1632.411652032;"H2B TSA-50um 20181107_R04.czi";0.854658366148483;0.899751302097395;1.21382382976624
"20181107_R04-Scene-03-P53-B04_seg_0_cid_2";"20181107_R04.czi";2;2;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";543.633440514469;1;1;311;0;5.19711396550521;615;452.656989789326;482;491;105.120461721448;248745427;498.198852495544;498.437770302739;179520;494.770293429192;501.232700892857;95696;421.420942725519;474.351426583159;125466;58;0;71.6953157556645;63.1527124433372;27.0897123505295;12.7980367723747;4.41080508077109;16.1987281749733;13.2611395167168;0.902893626000112;146.439514075926;0.875595454967538;0.473554722713064;-0.0952812879653875;156.447149357524;120.870843144443;0.461028959340944;-0.878140521036651;-0.127755719881678;772.569010045955;54.389208590049;0.144169684362544;-0.0679348946391554;0.98721829004591;1214.02633426845;0.979281747482978;0.991661969817376;53856;"[1, 4, 7, 10]";"[0.0005446470574024542, 0.0004018685384310851, 0.00036810959662231615, 0.00035048757593367875]";"[578.6759929350347, 1179.163963762832, 1496.872306350827, 1742.627966029761]";"[0.6970300957852602, 0.35942875128643775, 0.2193436685743136, 0.1357165238642744]";"[4.859402017610102, 5.439822697420145, 5.679609868222462, 5.824510495777907]";"[0.00018086294422173103, 0.00011714931754644167, 9.73907769502564e-05, 8.696686733613762e-05]";"[11.615034735592216, 12.031148792482496, 12.171809034068518, 12.248204342866995]";"[-0.14357322014440188, -0.05187506095539323, -0.027657288330292337, -0.019936846271598144]";"[0.8985644464920336, 0.6537964900463472, 0.47691431713901544, 0.41267195833551057]";"[0.11690608585042872, 0.08045705367928149, 0.06898115250735365, 0.06276805712742482]";"[7.203290881907747, 7.0740906473613245, 7.001453560979114, 6.966022604444548]";"[366.1105283581351, 369.3966496750117, 370.1906811628174, 369.8425367006079]";"[3542.4539849113407, 2690.7598336012475, 2431.475428177075, 2318.840149445325]";"[1030.2824944615993, 967.4809493410229, 982.086933631975, 1015.3670288687734]";692.240717376;"H2B TSA-50um 20181107_R04.czi";0.851750697893971;0.946369671687794;1.20098320091663
"20181107_R04-Scene-03-P53-B04_seg_0_cid_3";"20181107_R04.czi";2;3;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";464.839506172839;1;1;162;0;4.62933228464403;558;400.876355571705;430;432;91.9113512479408;63987483;437.148442863384;437.21888185654;32046;435.154724855001;433.197976878613;28276;399.5624893071;419.179054054054;46760;44;0;42.6644948283099;42.3277116132791;21.1376527856959;6.44052125123064;3.48253644069755;6.7887860436761;7.54851863979482;0.907748996734763;92.2476749394889;0.64495036965158;0.750443325060201;-0.144477806457876;117.360614625182;71.7861886400715;0.764197988850501;-0.634871566287113;0.113752046825529;261.072586980384;50.828495011191;0.00636038702748416;0.183774073777389;0.98294793111544;433.045290279772;0.893263972651539;0.962575874981706;23364;"[1, 4, 7, 10]";"[0.0016400174781860642, 0.0013272012640450576, 0.0012555995130481908, 0.0012083345949560986]";"[693.0191385676909, 1145.264036556465, 1309.6453573961817, 1446.5904522787864]";"[0.513062799221803, 0.19228981467615244, 0.12607716343438727, 0.09525523989742499]";"[4.54953440118679, 5.023899870144524, 5.193136174146052, 5.304698446504423]";"[0.0002465151526601445, 0.00017853561093403243, 0.00015862583558933578, 0.0001474402755701525]";"[10.306150886579385, 10.578763946703164, 10.66636383833778, 10.733527880627252]";"[-0.11219550051775398, -0.037844260668931554, -0.026850612122255372, -0.024382915568558525]";"[0.8083183634645609, 0.5511055960827637, 0.4808289814672666, 0.47106032482389176]";"[0.15727113354532876, 0.11988282938281838, 0.10902653996055746, 0.10289284400836377]";"[6.4294662652212375, 6.326532988249526, 6.300439391472389, 6.314203143587175]";"[359.0190171358226, 360.6780887213479, 360.4203438139168, 359.69640313677604]";"[2367.481013120856, 1771.5162831843627, 1716.1985292360198, 1751.4538375319355]";"[765.1250379221397, 729.1950799352039, 756.4609716580501, 799.5110724526793]";201.073969728;"H2B TSA-50um 20181107_R04.czi";0.918207861445695;0.967638531173272;1.15955830198544
"20181107_R04-Scene-04-P62-B04_seg_0_cid_1";"20181107_R04.czi";3;1;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";966.899639724311;4;4;31.5;13.9373598647664;6.24088831647324;1178;624.681414580157;654;709;163.406366085118;299141189;737.525180705816;749.186042897109;169336;684.106133796261;732.24743083004;79494;525.198748252214;567.091666666667;105133;68;0;55.1220895023702;62.5173345584397;34.2502056925679;10.023438902814;3.69349348342813;10.9262862179899;12.328117884193;0.927822988752128;126.783674501554;0.681754031760921;-0.725710284905348;0.0924987705881973;193.370691751711;116.599429615706;0.693885562965059;0.681498518693755;0.232556647995453;674.930520387282;65.4257091923294;0.231806526410263;0.094362870880539;-0.968174252349643;884.304331334929;0.958078869477061;0.975798902719445;47752;"[1, 4, 7, 10]";"[0.00034613555898832326, 0.00018622643283297037, 0.00015366777558611615, 0.00014169581738285528]";"[222.72921400566355, 648.8968728212609, 1041.2453765030527, 1391.9715553946573]";"[0.8746684612636978, 0.6182638762163772, 0.39486096605528836, 0.21686684278158186]";"[4.636834369418336, 5.5847273536571675, 5.968537480559347, 6.184021440577278]";"[0.00020137388563158619, 9.315725150189847e-05, 6.575925658797757e-05, 5.382805053339107e-05]";"[12.05617603544804, 12.909595751715838, 13.180600239856428, 13.294584060242348]";"[-0.22587738004365782, -0.08573786992282072, -0.04324994790778981, -0.02832041173662975]";"[0.9732582506214601, 0.8060057007277774, 0.6139783437570914, 0.5075500464912642]";"[0.12665403351657895, 0.06404948595055918, 0.04802319987741121, 0.04124086259430076]";"[7.780042976052234, 7.653906341260242, 7.549307911544305, 7.462688524935531]";"[249.36447635421612, 254.05467654169058, 256.62053748366503, 257.66102721448937]";"[3421.2685869097313, 2807.357798361935, 2431.1992600413096, 2166.2614727927203]";"[910.999450228848, 864.0636677958012, 868.1111591360891, 889.5582570468425]";603.23828544;"H2B TSA-50um 20181107_R04.czi";0.767715303673373;0.77445361061061;1.54782840846026
"20181107_R04-Scene-04-P62-B04_seg_0_cid_2";"20181107_R04.czi";3;2;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";683.83235112429;4;4;61.75;13.8270568090248;5.81823235795808;787;520.086159719872;557;583;138.419271553524;235120031;599.326916747467;599.923063380282;112417;590.414664652853;587.580052493438;84748;470.762246953197;522.029354207436;117172;58;0;55.0220182755669;73.6850329256612;28.3155974951281;14.245826167675;9.19780045015944;12.5448733558895;17.3160203082289;0.808726113888919;149.202681085966;-0.354517958988317;0.931435829326308;-0.0821237639296381;126.392311863542;113.575785940953;0.897380578978145;0.363598972174574;0.250007767692211;657.688781662972;55.3539883713821;-0.262726308594336;-0.0149359727104245;0.964754789307411;1314.25141058948;0.98136038353151;0.995364868173992;52738;"[1, 4, 7, 10]";"[0.0003657443205117161, 0.00022147901132779513, 0.00019239681050458338, 0.0001803416663658379]";"[494.48845335698485, 1239.0790165604742, 1763.3288093994738, 2154.257116386641]";"[0.7762432480868088, 0.42173993202745486, 0.21313640472784962, 0.08855118946765243]";"[4.960120155184224, 5.830140667427832, 6.162481652797898, 6.331723212513828]";"[0.00016659080319633392, 8.28004674307203e-05, 6.129536288650268e-05, 5.23353976502805e-05]";"[12.161686335964852, 12.85988903868445, 13.066350809244206, 13.158353954164982]";"[-0.1831234443795228, -0.05615769721192317, -0.025908423482384944, -0.01910232134066603]";"[0.9485835214687233, 0.6888132928555646, 0.49005341294212784, 0.4460473044350952]";"[0.11029299711259494, 0.06107929192167339, 0.047916030411787595, 0.04254520876447976]";"[7.6897056443755, 7.516280271911466, 7.4066312545877375, 7.3570014774996]";"[332.9396211363667, 337.6604899935042, 339.05705638574295, 338.48881814649843]";"[4148.969979952309, 3163.233822046449, 2751.488099209658, 2551.518799057085]";"[1160.864608327325, 1100.578209651729, 1128.7042271522828, 1176.4439788609327]";569.489341248;"H2B TSA-50um 20181107_R04.czi";0.797341724616531;0.88843954452192;1.31484435481347
"20181107_R04-Scene-05-P54-B04_seg_0_cid_1";"20181107_R04.czi";4;1;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";838.859913998475;6;6;33.1666666666667;16.5168264371687;5.77527673836712;1164;559.55470446726;592;620;128.218535859982;224923645;622.525004485526;624.725234996385;161631;601.64973070018;628.233475479744;61270;498.742081061632;556.524707996406;81987;71;0;47.1866636481918;57.7420049804836;37.9607730944426;5.69857541242383;5.31620907783287;4.93878644150152;7.48206009078688;0.983928337898119;110.654569193558;-0.292682890051193;0.95140860681384;-0.095699471011235;271.081837864187;95.2657618459611;0.878876783233977;0.228232915639679;-0.418909699232314;437.819545365846;76.6041500028907;0.376712524033351;0.206715744681337;0.902970805251898;646.758019770067;0.785262176167575;0.907921843150991;40058;"[1, 4, 7, 10]";"[0.0007287469570156368, 0.00048665449770589147, 0.00044327472392850033, 0.00042258428993372757]";"[164.6504508031198, 411.84349663743444, 553.2027880378238, 660.5483224409246]";"[0.8080804639269008, 0.49300444242408586, 0.31608581501321914, 0.20002950711517237]";"[4.367273393836537, 5.1527219287255965, 5.423401272563286, 5.5640473525032155]";"[0.000248747789327838, 0.00013666623925819124, 0.00010855608066946722, 9.630185888531e-05]";"[11.140579010962675, 11.77326417833267, 11.922380938316534, 11.98627641319491]";"[-0.19137842282956902, -0.06623879608104263, -0.032846643324272326, -0.021773143442907802]";"[0.9438610765001858, 0.725703303041005, 0.5359065454386843, 0.43761261439197924]";"[0.15163735960269598, 0.09199265420331641, 0.07582787776764709, 0.0685898947288602]";"[7.120419111265827, 6.940442201483309, 6.8389045037830645, 6.7872689993846596]";"[215.05214686439894, 217.81606962750786, 218.98519600118382, 219.4753557147653]";"[1594.425014446565, 1235.810218342688, 1079.6409573228134, 997.9923643435602]";"[439.7688663124206, 411.9134287450289, 408.2109363401582, 414.635171696121]";506.365172928;"H2B TSA-50um 20181107_R04.czi";0.828957540596274;0.885856500358281;1.49915621708004
"20181107_R04-Scene-05-P54-B04_seg_0_cid_2";"20181107_R04.czi";4;2;"TSA-50um";"cardiomyocyte";"H2B";"ZSD";"no";722.67001858754;6;6;42.5;14.9527032115713;5.61478607186076;871;539.565159527972;569;584;119.156785975856;246905017;595.623755237154;594.690655969797;183067;584.610932568149;584.727696404794;69700;486.691294845141;499.062256809339;93795;79;0;50.9715187937063;53.937423513986;42.2152950174825;7.68710694991266;1.66324319914485;5.84782936882309;10.3136761358837;0.953902816045569;120.814920915882;0.161552792064091;0.871865572861002;0.462332259566702;238.296499065363;102.91750603143;-0.986839147111957;0.139393970108336;0.0819623012413698;566.54142741452;73.7373023704624;0.00701377955465246;-0.46948881132269;0.88291056338633;744.1220521847;0.907238677064865;0.947336967281901;45094;"[1, 4, 7, 10]";"[0.0005227066848689361, 0.0003562196852836873, 0.000325712407818648, 0.0003132846235604745]";"[313.16001111939516, 710.2077181362519, 948.5190673663856, 1107.4715501359224]";"[0.7716032016504185, 0.4509060927175345, 0.27090037510466397, 0.16874037871066236]";"[4.676869175175364, 5.421538997799791, 5.683742453350068, 5.8104223932418355]";"[0.00020089346082286256, 0.00011308384949696656, 9.111213631440798e-05, 8.184948473752517e-05]";"[11.622969242727123, 12.203192421686545, 12.34930682741184, 12.40761277696994]";"[-0.17446764474696336, -0.05834515211375472, -0.027533794219685385, -0.017727276890245832]";"[0.9349657327797032, 0.7010592114253001, 0.5111310273167416, 0.4224532061806052]";"[0.12609545257802612, 0.07805781198195103, 0.06591635502939933, 0.0603637436702646]";"[7.336385629671213, 7.165269822595373, 7.057936105749486, 7.004205242876188]";"[297.64961140725796, 301.19202758150027, 302.528063352957, 302.7892993959805]";"[2533.406089220827, 1918.734976762355, 1671.188903292575, 1560.5534460979106]";"[711.6415250850562, 657.2356737246544, 654.9269926647377, 667.0062490584563]";576.4442112;"H2B TSA-50um 20181107_R04.czi";0.832504607307196;0.853495156596532;1.33935634246613
