"cell_id";"czi";"series_id";"cell_seg_id";"condition";"cell_type";"structure";"scope";"minipipeline";"dna_bright_spots_intensity_mean";"dna_bright_spots_number";"dna_bright_spots_number_used";"dna_bright_spots_xy_cross_sec_area_mean";"dna_bright_spots_xy_cross_sec_area_std";"dna_intensity_entropy";"dna_intensity_max";"dna_intensity_mean";"dna_intensity_median";"dna_intensity_mode";"dna_intensity_std";"dna_intensity_sum";"dna_io_intensity_inner_mean";"dna_io_intensity_inner_slice_mean";"dna_io_intensity_inner_volume";"dna_io_intensity_mid_mean";"dna_io_intensity_mid_slice_mean";"dna_io_intensity_mid_volume";"dna_io_intensity_outer_mean";"dna_io_intensity_outer_slice_mean";"dna_io_intensity_outer_volume";"dna_position_highest_z";"dna_position_lowest_z";"dna_position_x_centroid";"dna_position_y_centroid";"dna_position_z_centroid";"dna_roundness_roughness";"dna_roundness_roughness_xy";"dna_roundness_roughness_xz";"dna_roundness_roughness_yz";"dna_roundness_sphericity";"dna_shape_1st_axis_length";"dna_shape_1st_axis_x";"dna_shape_1st_axis_y";"dna_shape_1st_axis_z";"dna_shape_1st_eigenvalue";"dna_shape_2nd_axis_length";"dna_shape_2nd_axis_x";"dna_shape_2nd_axis_y";"dna_shape_2nd_axis_z";"dna_shape_2nd_eigenvalue";"dna_shape_3rd_axis_length";"dna_shape_3rd_axis_x";"dna_shape_3rd_axis_y";"dna_shape_3rd_axis_z";"dna_shape_3rd_eigenvalue";"dna_shape_equator_eccentricity";"dna_shape_meridional_eccentricity";"dna_surface_area";"dna_texture_distance_used";"dna_texture_haralick_ang2nd_moment";"dna_texture_haralick_contrast";"dna_texture_haralick_corr";"dna_texture_haralick_diff_entropy";"dna_texture_haralick_diff_var";"dna_texture_haralick_entropy";"dna_texture_haralick_info_corr1";"dna_texture_haralick_info_corr2";"dna_texture_haralick_inv_diff_moment";"dna_texture_haralick_sum_entropy";"dna_texture_haralick_sum_mean";"dna_texture_haralick_sum_var";"dna_texture_haralick_variance";"dna_volume";"group";"dna_io_intensity_ratio";"dna_io_intensity_ratio_slice";"dna_bright_spots_intensity_mean_norm"
"20181023_J01_010_Out_seg_0_cid_1";"20181023_J01_010_Out.czi";0;1;"TSA";"hiPS";"CBX1";880;"no";13166.6721763085;1;1;363;0;7.95801978396945;14757;11288.140700921;11822;11995;2040.85484945668;48498412860;11947.535649637;12008.4488888889;2796985;11731.2178408446;12015.3879015721;412402;9281.80522531209;11385.6331759946;487435;122;0;157.634887687471;117.227600104646;59.1625861999942;33.4883613429666;33.7200021801029;35.7149213256235;11.6910303257149;0.898051413446296;348.567606334997;0.927240009491895;0.372800951837418;0.0352904393084911;761.329703679824;185.880145867948;0.360849339799064;-0.86435830653717;-0.350246301746037;1607.54256803118;128.038007614636;0.100068570310818;-0.337496915881184;0.935992581704918;7481.03990306902;0.880740874176832;0.994808169947381;213090;"[1, 4, 7, 10]";"[0.002853393224144563, 0.0011855878194240313, 0.001025444635191631, 0.0009555072098248377]";"[220.18957770363312, 641.2318682006972, 811.658426758529, 902.7547839900652]";"[0.843169504349498, 0.4862161507397226, 0.3164223339569857, 0.2558962783314709]";"[3.122474994261678, 4.470725928823092, 4.791355987076345, 4.958652086017024]";"[0.0006348812174177825, 0.0002450948780187027, 0.00019501790292092704, 0.00017203740563568722]";"[9.357538478030078, 10.611419253364888, 10.831720145976963, 10.944947481758122]";"[-0.3591641258087813, -0.10754677008245718, -0.05849761355505929, -0.037157871347308476]";"[0.9890618837138673, 0.8177714063011394, 0.6663440070756985, 0.5490821621846851]";"[0.33475281923174816, 0.14979877387006066, 0.12371604227878362, 0.11124894528155378]";"[6.714960036546037, 6.565561537739071, 6.485377574537545, 6.440740737307404]";"[377.0306593735885, 379.6213274124767, 380.79821497413104, 381.10475062869017]";"[2736.4637549597514, 1969.2456142739998, 1649.1067275469384, 1574.6768908859901]";"[739.1633331658438, 652.6193706186762, 615.1912885763662, 619.3579187190134]";537.0505;"CBX1 TSA hiPS";0.791205597853243;0.947587649209801;1.16641637672307
"20181023_J01_010_Out_seg_0_cid_2";"20181023_J01_010_Out.czi";0;2;"TSA";"hiPS";"CBX1";880;"no";13001.6034401563;11;11;379.727272727273;124.817023102613;7.85611336565904;15693;11304.0471696529;11744;11824;1899.55613236765;83448782232;11852.4543425127;11884.1942356998;5259455;11644.5459570268;11996.2975;592695;9055.42296679626;10828.5717274357;685224;144;0;136.197591667746;158.68014457471;69.3309439836667;23.0802766118912;11.7582483032178;21.4738558508161;29.9753729225704;0.961961382078533;330.789439894364;0.289192014777042;-0.956540428285156;0.0373950216639213;1238.6828228;270.269998007274;-0.951144299757826;-0.291534406667378;-0.101647482837968;3749.62392839188;154.8665549529;-0.108131862221044;0.00617242133603226;0.994117398292304;5606.45464480819;0.943859012984501;0.975287695560112;285596;"[1, 4, 7, 10]";"[0.0031389725361605373, 0.001297179313982619, 0.0011202445604462361, 0.0010442864618787633]";"[137.60606971018234, 388.8917217636714, 502.2238321266263, 562.4181548971549]";"[0.842674417904396, 0.5141986983891585, 0.33969207003669233, 0.2731283029582939]";"[3.00322829767832, 4.326119091829316, 4.637651761009961, 4.803033457175981]";"[0.0006628584010603679, 0.00025855568241051204, 0.00020723898970794122, 0.00018358633687064153]";"[9.157708054660784, 10.408713502117624, 10.625072451739173, 10.736739067674645]";"[-0.3507111000686058, -0.10051363376400357, -0.05254611900973252, -0.03162941124478845]";"[0.9866195659098798, 0.7965415270875033, 0.6341599456447415, 0.5049402976908179]";"[0.3424039758991218, 0.1542084013249978, 0.1281775735174005, 0.11587803126924247]";"[6.559097685771329, 6.415456653649209, 6.335508711568204, 6.287049485434819]";"[336.5761669960739, 338.248114568988, 339.1172236975586, 339.3869397589746]";"[1722.9751568175025, 1289.551376847098, 1081.4638328791111, 1023.505598134875]";"[465.1453066319213, 419.61077465269017, 395.92191625142925, 396.480938258008]";922.7755;"CBX1 TSA hiPS";0.777653589947991;0.902659485348354;1.1501724333795
"20181023_J01_010_Out_seg_0_cid_3";"20181023_J01_010_Out.czi";0;3;"TSA";"hiPS";"CBX1";880;"no";12775.6156491041;21;21;328;83.3346666560002;7.87229443087384;15278;11150.0107699922;11633;11726;1980.12867051949;92766707005;11760.5815025283;11802.0164004545;5724804;11520.721801853;11866.5989459816;732557;8815.73638758642;10888.8501389942;834312;122;0;206.367655719869;152.837899266768;62.2105151567163;38.1591714141399;24.7369988095215;48.3427040211746;28.5359738187603;0.893909677133702;404.290609016347;0.951385874079221;-0.307350155924336;0.0200199963986697;876.911724863824;278.128184981157;-0.304236272416362;-0.947900601950697;-0.0944708387159955;3955.81999689011;126.541304052151;-0.0480125936470137;-0.0837874123886943;0.995326308492091;9942.51722236778;0.975120298907634;0.996102948781474;332730;"[1, 4, 7, 10]";"[0.003015359915928698, 0.0012432650605847984, 0.0010727395035226872, 0.0010027807125533204]";"[157.60988632183734, 468.71370345018533, 598.4741114538339, 670.7045988635186]";"[0.8482088805423508, 0.5023766807371399, 0.3393617872673659, 0.27741618332991097]";"[3.060905989420796, 4.404480875300956, 4.726227379107228, 4.895909704743243]";"[0.0006452272111122172, 0.0002493254016311972, 0.00019842990571635258, 0.0001755393909613529]";"[9.256655933573628, 10.517175022879506, 10.737458449150981, 10.850059604455812]";"[-0.35281237887571704, -0.10109206760855376, -0.05259781646584752, -0.03212974532716505]";"[0.9875383513296524, 0.797422375438424, 0.6276555994829756, 0.49426375197014766]";"[0.33673648230248826, 0.15057483072323027, 0.12430539284763159, 0.11251145463021664]";"[6.627732280942747, 6.481450443372726, 6.396311538416244, 6.3448928983203]";"[342.2558197771484, 344.19036650350483, 345.11586801777685, 345.40974486928855]";"[2067.9565306560376, 1540.5100044553155, 1317.3236908119445, 1256.5801592191654]";"[556.3916042444683, 502.30592697637815, 478.9494505664443, 481.82118952066764]";1039.9845;"CBX1 TSA hiPS";0.765206949634746;0.917604967401509;1.14579401873645
"20181023_J01_010_Out_seg_0_cid_4";"20181023_J01_010_Out.czi";0;4;"TSA";"hiPS";"CBX1";880;"no";12416.9498100515;8;8;521;7.85811682275086;7.90004228860682;13897;11246.0568148998;11757;11899;2013.91709014081;47660878750;11879.2338420243;11943.3960947342;2819459;11627.622403852;11979.2719178082;397512;9148.17474589694;11394.2343173432;457098;108;0;162.955604614243;92.096417939749;50.2813293415208;29.8131269378222;26.3899713966625;38.4808465585095;12.04152806536;0.953283110912108;328.890493272302;0.998349120824264;0.0526329135261444;0.0229958553476249;749.480084140084;181.210875287046;0.0539772432950719;-0.996591399203058;-0.0623862183559431;1787.50284819506;114.323788933712;-0.0196339032208091;-0.0635244791260835;0.997787126794125;6493.90359866312;0.907852866476132;0.993317606956468;198640;"[1, 4, 7, 10]";"[0.001788315165438313, 0.0007331713999193486, 0.0006309819682151833, 0.0005869966593168383]";"[229.77084231917155, 599.8995481589271, 778.7689700678184, 874.8422369582776]";"[0.8261944817622016, 0.5194204601209321, 0.34944574259323313, 0.2858342961332044]";"[3.3639579988747177, 4.703786969631125, 5.01620378778211, 5.179867396579026]";"[0.0005195663883792997, 0.0001950741653013735, 0.00015482359332150085, 0.0001364198664054388]";"[9.932799333647173, 11.18129483590617, 11.390506431988852, 11.50172978052527]";"[-0.3275363173217431, -0.09346434007851968, -0.04930720580614364, -0.030667850753941236]";"[0.9866082868906444, 0.7952377705411229, 0.6311585920880567, 0.5053846390822455]";"[0.27902503058968114, 0.12023496267146053, 0.09893965596811524, 0.08893777982751991]";"[6.948909789011858, 6.803136940543998, 6.718004885636216, 6.6692104986679075]";"[383.7459521387884, 385.9469859601731, 387.163156870419, 387.54611981443367]";"[2620.2932122046614, 2028.6904839885449, 1730.5465599899157, 1655.8718170431182]";"[712.5160136309552, 657.1475080368635, 627.3288825144319, 632.678513500352]";529.751;"CBX1 TSA hiPS";0.786762282791911;0.951162507664983;1.10411587051565
"20181023_J01_010_Out_seg_0_cid_5";"20181023_J01_010_Out.czi";0;5;"TSA";"hiPS";"CBX1";880;"no";12642.9310572629;3;3;450.666666666667;91.0469964114993;7.80577430926783;14839;11003.1550552097;11511;11660;2015.58982072444;48859818111;11612.2422389923;11653.9031111318;2938697;11488.3152186361;11864.3148861646;419144;8889.55978367202;10960.7555780933;485559;104;0;115.498610975992;151.621037858561;47.6872173759517;24.7176269657038;14.0980859432315;21.3255628222084;34.2252679586178;0.958319551030869;303.705807758152;0.113614323411647;0.993310941731375;0.0206193732310642;695.859682806385;229.304347230012;0.993486819435555;-0.113767272336411;0.00639901187353007;2743.99149032282;105.624380344732;-0.00870201836003095;-0.0197580561255705;0.99976691988413;4984.254555522;0.967310757077902;0.990206344705372;203980;"[1, 4, 7, 10]";"[0.002846776143266981, 0.0011685310842645918, 0.001007194047892929, 0.0009394063666803389]";"[178.4644331388427, 481.02220435320544, 610.3625765724181, 679.9667465771951]";"[0.820874718155899, 0.481855546516563, 0.31962664798123686, 0.259941744142239]";"[3.1133769996808045, 4.444581822757979, 4.746268744037844, 4.902302258332039]";"[0.0006227937788438636, 0.000240710270676985, 0.0001930927606422444, 0.00017171600383647975]";"[9.297642176477144, 10.539186713734406, 10.742579665789872, 10.847769467916963]";"[-0.3393401327452154, -0.0912122210647789, -0.04715564763336329, -0.029660894686222832]";"[0.985182145262397, 0.7697827744618867, 0.5958676303640866, 0.47125321038864254]";"[0.3264173904453358, 0.14549017429498634, 0.1205100573552181, 0.1089440091112537]";"[6.610706836929477, 6.461151870961509, 6.379011488791384, 6.334289285494482]";"[345.58152353623143, 347.4219659671537, 348.2533951803732, 348.43697499799566]";"[1978.0020951222743, 1498.7699185397337, 1288.923125645588, 1232.6943921911811]";"[539.1166320652782, 494.94803072323367, 474.8214255545015, 478.16528469209237]";555.066;"CBX1 TSA hiPS";0.773791423241206;0.923842268454541;1.1490278010103
"20181023_J01_010_Out_seg_0_cid_6";"20181023_J01_010_Out.czi";0;6;"TSA";"hiPS";"CBX1";880;"no";13095.2962286596;8;8;305.125;129.499457045194;7.86069654079131;15101;11431.2132339794;11862;12006;1843.02815887925;65213471130;11949.2487163321;11974.249297988;4006488;11765.7500137236;12001.7263464338;473638;9491.4868753095;11303.2285611769;547251;152;0;142.938182181508;102.4583330704;77.1334525299481;19.41269638182;15.4741132285224;25.1758340176175;14.3541984692972;0.989580630069903;289.305256201744;0.994546607569731;-0.104125060230665;0.00591753356561294;1243.23998973788;236.176032960023;-0.0940306421914502;-0.91978256768915;-0.380996412718306;2601.31099177114;162.934253625875;-0.0451141186393272;-0.378362260283864;0.924557578678733;4752.43302574882;0.878398881658197;0.965176177471183;233712;"[1, 4, 7, 10]";"[0.002608046281187565, 0.0010958595442221127, 0.0009583317532649201, 0.0008991931635228388]";"[155.16816974118152, 422.57133315931566, 547.1671350792766, 613.9031076076789]";"[0.8342739280282552, 0.5120314073134344, 0.33457256373930555, 0.26475481544201923]";"[3.137029062697937, 4.465404099977684, 4.777727119789885, 4.940143508722239]";"[0.0006045298240655487, 0.00023166584503090618, 0.00018549033725660672, 0.00016480742231269905]";"[9.431756358401303, 10.667323696208655, 10.876024157399721, 10.982436922564286]";"[-0.33460941128502414, -0.09376134940312442, -0.048530627450171955, -0.029695712324623605]";"[0.9851775138502095, 0.785284167686479, 0.6205115350655261, 0.49890164220207434]";"[0.3166423896467735, 0.1397408262766812, 0.11625629823797458, 0.10549505655362931]";"[6.667305918991357, 6.50731067595129, 6.420858779447168, 6.371841241318387]";"[354.8432729081709, 356.5601810086247, 357.4719702098424, 357.7466848994385]";"[1826.0584548241918, 1373.4611251222266, 1152.0538005861913, 1091.0215517782076]";"[495.3066561413412, 449.0081145703852, 424.8052339163671, 426.23116484647585]";713.1075;"CBX1 TSA hiPS";0.806704788410313;0.941800223976576;1.14557361153352
"20181023_J01_010_Out_seg_0_cid_7";"20181023_J01_010_Out.czi";0;7;"TSA";"hiPS";"CBX1";880;"no";12294.116344523;5;5;478.2;27.7012635090893;7.83836238690877;13758;10988.9271818183;11506;11650;2027.69003008117;50327132663;11635.1463645229;11674.4238424569;2996498;11467.7201965125;11793.6780469897;440888;8869.26884439775;11062.8730616661;512062;117;0;123.372757000081;132.326069412577;55.1294072846786;22.0975318895146;8.46375247274127;25.05965140672;27.4588962412514;0.944381207432784;281.572675533779;0.510189686324701;0.857778715189914;0.0626271485463275;787.838986590221;242.015344700052;0.854575776276882;-0.513801054319962;0.0755560664702732;2951.09947980702;123.386238442279;-0.0969882805738307;-0.0149717182325886;0.995172910144009;4364.08657754777;0.963706346068122;0.98356988074317;211574;"[1, 4, 7, 10]";"[0.0024983242942847464, 0.0010167960748817208, 0.00086915960972658, 0.0008066811279880666]";"[229.57648574985635, 639.5136892442956, 812.4434842349744, 899.3351306682224]";"[0.8286659323443912, 0.47979333996270823, 0.3066782587095267, 0.25027683544047813]";"[3.195482353544537, 4.5362335865841885, 4.843378568252376, 5.0019904455903355]";"[0.000595088851877362, 0.00022827392442662021, 0.00018233852806104776, 0.00016159738441159975]";"[9.500819082629944, 10.752391377574684, 10.961375784213086, 11.070712878914026]";"[-0.3406467645615693, -0.09464929571764266, -0.04950053280573527, -0.03080762270063849]";"[0.9866121127041031, 0.7868771614165222, 0.6213095243351189, 0.4995470477646253]";"[0.31521987701775456, 0.13935076222736195, 0.11499345726670993, 0.10362277793168391]";"[6.739923482187264, 6.5990760310837215, 6.520092520764523, 6.476372534885922]";"[389.3633625357324, 391.56932476017084, 392.6248799597378, 392.8556255395581]";"[2639.870678098131, 1958.8938999732288, 1644.7061675721466, 1572.2287677309919]";"[717.3617909619945, 649.6018973043806, 614.2874129517816, 617.8909745998026]";572.4755;"CBX1 TSA hiPS";0.773411688845969;0.938034175393639;1.11877311962393
"20181023_J01_010_Out_seg_0_cid_8";"20181023_J01_010_Out.czi";0;8;"TSA";"hiPS";"CBX1";880;"no";13599.4627604995;10;10;346.2;84.1365556699346;8.08114492091166;16429;11601.2888426311;12074;12248;1998.3036295661;67598018587;12166.3343300277;12253.6484981715;4139350;11987.7946091747;12506.7036780014;469724;9299.35954513483;11078.7911978822;544513;126;0;140.024922221032;143.55657887872;56.8187441133747;22.6815935031553;8.49934546717795;25.4094773521429;28.8098483530668;0.966248871319063;296.490602462642;0.564388002734441;0.822905083309692;0.0655240889482389;969.583163383441;256.318517029029;0.821212986601644;-0.567766848681968;0.0570090885259119;3421.87520392142;133.132842392383;-0.0841154742377237;-0.0216339871686845;0.996221138900871;4915.86206022476;0.959017014782135;0.980356111430935;242480;"[1, 4, 7, 10]";"[0.002359753334967146, 0.0009387590851939715, 0.0007924481269842837, 0.0007323976211471337]";"[136.97586020370287, 395.95935005624585, 523.282251889425, 599.5167461228575]";"[0.8558720317724906, 0.5499001252453158, 0.3805075389095439, 0.30270622667644465]";"[3.124825491462024, 4.49270086141948, 4.844060232657187, 5.025851866207993]";"[0.0006126422957224881, 0.00022912542641720433, 0.00017767038401202275, 0.00015511854002449294]";"[9.556704720710313, 10.86699033909082, 11.120902286346283, 11.248981380791692]";"[-0.35647571001821987, -0.10952754888061185, -0.05854918408105102, -0.03662711367606595]";"[0.9896646205555583, 0.8274166730913186, 0.6709029566775189, 0.5461390828559852]";"[0.3219756237624273, 0.13931223205668505, 0.11263678744540274, 0.10072340858255123]";"[6.822416239397894, 6.689798020109884, 6.605609464496577, 6.555913455062783]";"[326.8517886434596, 328.63458174181113, 329.5347567220907, 329.7906160649152]";"[1875.1372963495623, 1443.829059449769, 1235.9649985579174, 1169.1732543051464]";"[503.0282891383162, 459.94710237649997, 439.81181261182985, 442.17250010700224]";728.346;"CBX1 TSA hiPS";0.775735641818358;0.885828231252427;1.17223723544627
"20181023_J01_010_Out_seg_0_cid_9";"20181023_J01_010_Out.czi";0;9;"TSA";"hiPS";"CBX1";880;"no";13580.4089163583;10;10;266.9;71.7139456451812;7.93223454814087;15728;11202.5731980864;11704;11823;1994.17454185271;60500527193;11799.4063269696;11868.2774728808;3726713;11586.5248943257;11869.6126900198;464162;8997.63771951991;11155.7680077872;542149;126;0;140.08106074297;150.126719441128;58.9403280232982;25.2549583490015;14.6693480207732;26.5697562706665;30.2029631024364;0.923549125502793;306.47582143997;0.539695051538941;0.84161273904281;0.0204266694602517;784.480541232191;261.56543510776;0.810930618584559;-0.526230118125447;0.25587769465067;3376.596794052;125.551695440157;-0.226099056137889;0.121531313901135;0.966493329803688;5192.9233853232;0.972637315733888;0.988523491179167;241196;"[1, 4, 7, 10]";"[0.0033119788849911634, 0.0013788471208791286, 0.0011919169120616982, 0.001111139411032837]";"[166.00924714114083, 503.60358805961914, 644.7103919388136, 727.0774499595839]";"[0.8525723158472659, 0.49603242142629345, 0.3330360822224685, 0.26402891586787985]";"[3.0062822573723595, 4.355985980515082, 4.693511423160607, 4.872172257276121]";"[0.0006806953546768543, 0.0002650365328897189, 0.00021007097125466234, 0.00018524700082061496]";"[9.1580184948283, 10.420507042539747, 10.65496234207336, 10.778208651379602]";"[-0.3660925144217492, -0.11259997579236067, -0.06216250612458521, -0.03956067505001801]";"[0.9891711370093745, 0.8237748873770616, 0.6753068590011936, 0.5557551023054311]";"[0.35367657700599714, 0.1598509992408956, 0.1318229171978989, 0.11916686803417034]";"[6.616079731682804, 6.471736094647431, 6.396871713138156, 6.356575201974199]";"[339.71524212131897, 341.8634856901987, 342.80749980750994, 343.0893299351992]";"[2221.806026389306, 1619.0817802793206, 1378.1197882496758, 1302.7254390054384]";"[596.9538183826103, 530.671342084737, 505.707545047123, 507.4507222412562]";675.074;"CBX1 TSA hiPS";0.776560513318912;0.939859479759362;1.21225799432206
"20181023_J01_010_Out_seg_0_cid_10";"20181023_J01_010_Out.czi";0;10;"TSA";"hiPS";"CBX1";880;"no";13370.7237147165;7;7;300;132.703751696347;7.813304441944;16090;11144.9125351481;11598;11672;1904.61494298262;56203125220;11684.8255941498;11756.5600055305;3513592;11510.0797939565;11819.5433773652;428065;9116.61458604583;10754.001795977;491552;126;0;155.635315510397;127.777978322169;56.5290342538281;25.0572503966195;17.6324881073929;27.420724874971;21.4163719310753;0.952487124237243;320.326703312904;0.820286629518911;-0.563447442244094;0.0982691470457211;902.277041708138;227.088138215883;-0.55623988632605;-0.82588448844022;-0.0922605040839213;2536.11284117675;135.894019407354;-0.133142909283548;-0.0210188387506455;0.990873944619136;5408.66450710209;0.934572916046892;0.98598725334708;223276;"[1, 4, 7, 10]";"[0.0038925082173737724, 0.001630979194685584, 0.0014214152351892618, 0.001335993719507718]";"[148.32839532132306, 415.818513370842, 527.8844862593396, 588.0752318223132]";"[0.8317475390226696, 0.4787507634670979, 0.30631737900258954, 0.24160842289542603]";"[2.943405846536677, 4.273793855996699, 4.587754300914326, 4.746372167163978]";"[0.0007050256997643678, 0.0002770378671912674, 0.0002222984499349455, 0.0001983719598641511]";"[8.912116654099126, 10.146382558838313, 10.35263992362535, 10.454787389712854]";"[-0.3523559547135413, -0.0953898483129244, -0.047792059152157354, -0.028475910040856096]";"[0.9854799482308293, 0.7746669717622974, 0.597560184438904, 0.4661197136339549]";"[0.3623019023793759, 0.1650809187503876, 0.13745898472510024, 0.12500628301779312]";"[6.4202267972273255, 6.260079985575349, 6.174743338934807, 6.130838423898657]";"[323.96966835326964, 325.7781311127658, 326.6149957967151, 326.8372135230924]";"[1719.6707758672956, 1250.0488734146459, 1049.8658382598446, 996.6755291689008]";"[466.9997927971532, 416.46684669636977, 394.43758112979606, 396.18769024779976]";630.3675;"CBX1 TSA hiPS";0.792054855330594;0.909849175440334;1.19971544617769
