"cell_id","czi","series_id","cell_seg_id","condition","cell_id.1","dna_bright_spots_intensity_mean","dna_bright_spots_number","dna_bright_spots_width","dna_intensity_entropy","dna_intensity_max","dna_intensity_mean","dna_intensity_median","dna_intensity_mode","dna_intensity_std","dna_intensity_sum","dna_io_intensity_inner_mean","dna_io_intensity_inner_std","dna_io_intensity_outer_mean","dna_io_intensity_outer_std","dna_io_intensity_volume_inner","dna_io_intensity_volume_outer","dna_position_highest_z","dna_position_lowest_z","dna_position_x_centroid","dna_position_y_centroid","dna_position_z_centroid","dna_shape_1st_axis_length","dna_shape_1st_axis_x","dna_shape_1st_axis_y","dna_shape_1st_axis_z","dna_shape_1st_eigenvalue","dna_shape_2nd_axis_length","dna_shape_2nd_axis_x","dna_shape_2nd_axis_y","dna_shape_2nd_axis_z","dna_shape_2nd_eigenvalue","dna_shape_3rd_axis_length","dna_shape_3rd_axis_x","dna_shape_3rd_axis_y","dna_shape_3rd_axis_z","dna_shape_3rd_eigenvalue","dna_shape_equator_eccentricity","dna_shape_meridional_eccentricity","dna_shape_sphericity","dna_surface_area","dna_texture_haralick_ang2nd_moment","dna_texture_haralick_contrast","dna_texture_haralick_corr","dna_texture_haralick_diff_entropy","dna_texture_haralick_diff_var","dna_texture_haralick_entropy","dna_texture_haralick_info_corr1","dna_texture_haralick_info_corr2","dna_texture_haralick_inv_diff_moment","dna_texture_haralick_sum_avg","dna_texture_haralick_sum_entropy","dna_texture_haralick_sum_var","dna_texture_haralick_variance","dna_volume","outlier","dna_io_intensity_ratio"
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_1","20181005_R02_001.czi",0,1,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_1",1587.13392857143,16,5.87947722733944,6.54312021624802,1963,1001.90432110962,1030,1024,224.746955178611,709917341,1067.61820331799,128.243360088846,731.628809963632,315.922783662959,569984,138584,92,0,69.0530986440257,53.7202046945388,42.5534909846338,141.08745892167,0.940035118324861,-0.327883108834376,0.0939502169080432,327.147925830747,125.756051917596,-0.303073738206571,-0.676623192741452,0.671064351797842,697.521551472463,89.9564368703406,0.15646177017233,0.65929790078952,0.735422322539284,1092.43500295459,0.883190310339844,0.954106746823768,1.17437269180062,40253,0.000484860386442055,199.603476571461,0.829425791160535,4.58009818062861,0.000208930949948188,11.7857506327907,-0.184496018370235,0.945840477703493,0.128845003221159,234.886800068487,7.46603810692349,2178.09776739887,594.425310992583,708568,FALSE,1.4592347769507
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_8","20181005_R02_001.czi",0,8,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_8",1700.88888888889,9,5.8233857006486,6.52891708540004,2110,1042.95493722368,1069,1064,219.204801178804,462612049,1096.56603967315,131.118769775292,840.716420640386,335.733262223924,350615,92944,92,0,54.8203102631217,46.9206824796701,44.5892519371718,114.972550803471,-0.683982669998781,-0.186675010207649,0.70520929354718,317.847156241007,100.49862506566,0.659107258526132,-0.572441416647654,0.487738091873696,460.931001780341,85.773966679736,-0.312642493752057,-0.798412966496913,-0.514578862789849,661.247689871346,0.7242129124296,0.876897228160288,1.28393027729813,26608,0.000543744805340202,198.101483087044,0.798087679605551,4.52747126888862,0.000220564358697051,11.6325434480947,-0.176180631716034,0.936566762352623,0.135350001068957,222.894724145663,7.34675425934289,1786.26983591371,496.092829750189,443559,FALSE,1.30432332799908
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_52","20181005_R02_001.czi",0,52,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_52",1500.28571428571,13,5.68711270859156,6.49127082720945,1842,950.612683755887,983,993,221.06848867781,359087287,1023.91780712894,117.250453872018,711.919235622859,297.938688846582,288991,88752,76,0,50.3556862734716,52.909562850933,39.0458936366789,113.644278345916,-0.529928634640249,0.816650944339422,0.228597631872801,278.434472265209,86.6476679550315,0.760835804557777,0.576897723373543,-0.297183268824715,355.827979144705,76.579306979085,0.374572450523582,-0.0164393392797373,0.927051901153762,694.040193193272,0.622653838465859,0.915999601190358,1.16650607479142,26200,0.00047756922149042,236.515453792635,0.806263245440615,4.6743242015623,0.000198121747386314,11.8442380543693,-0.176405645582468,0.939452313301709,0.124289882493722,239.382708014447,7.46958288324213,2255.71741846348,623.058218064028,377743,FALSE,1.43824995293618
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_20","20181005_R02_001.czi",0,20,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_20",1764.73469387755,14,6.13786417622691,6.7981986956914,2098,1115.33768370388,1157,1162,282.32824066543,464385344,1209.37876720474,156.267696613098,805.003759204371,369.692847819846,319534,96829,74,0,55.3185177357258,67.4705461340225,34.9607481932833,145.226065022094,-0.551698333996041,-0.812464015055682,-0.188497141902981,238.802305706624,76.0034441088296,-0.504972799852566,0.14551143003323,0.850781343906144,277.301085974745,72.2699929597017,-0.663800737928975,0.564560579538888,-0.49055064198884,1281.37220538715,0.508323597783111,0.982480670893247,1.14427281437324,28574,0.000377702014233421,289.371187746988,0.82176507041086,4.79386437685237,0.000184494541082094,12.1564123047011,-0.187132647726158,0.951012217054509,0.118344768719305,261.259868160153,7.6847176680337,3017.87452350792,826.81142781373,416363,FALSE,1.50232685670939
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_4","20181005_R02_001.czi",0,4,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_4",1950.69642857143,8,5.47882039882545,6.75406273191205,2266,1141.32531678235,1175,1183,272.860021201288,429011632,1224.20577508627,162.637998274653,836.280977225467,364.402767129846,295580,80309,71,0,40.999350872199,48.1387989539465,33.8140541489642,99.243675656987,0.154165046933855,0.988034734193733,-0.00452794993363263,304.931068095732,87.8876489348002,0.91211290766806,-0.144077619969358,-0.383785986051189,393.340072256143,79.6084549032973,-0.379846260965144,0.0550363829723969,-0.923410967327178,552.368937539758,0.631672692575413,0.833816047059321,1.31797378188459,23110,0.000406495491201779,201.628500241747,0.850930875687081,4.66985384468008,0.000193567853311143,12.0431820993298,-0.185986481424512,0.949208572083864,0.120582158367739,215.24951572587,7.6085881277308,2533.98547858351,683.903494706317,375889,FALSE,1.46386897277973
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_70","20181005_R02_001.czi",0,70,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_70",1899.31868131868,13,5.90343997715252,6.92896129097233,2242,1167.16366335947,1212,1193,316.947870015804,437852111,1279.1324276637,180.607611354162,824.20194734163,390.150364629183,282811,92331,55,0,57.3795069600311,46.1860628775237,28.5445591269439,128.751434406864,0.911229636912321,-0.410759941995953,-0.0306074968614108,178.776237050656,91.5461995178415,-0.40930718149415,-0.911315518555616,0.0444033424082427,431.725455188572,56.5424863609646,0.0461322012259822,0.0279337733074214,0.998544703215061,885.585881324819,0.910232736094544,0.979411623608592,1.13244694317294,26859,0.000301899549341776,262.199812885852,0.852678658678046,4.79484922288915,0.000179237309085611,12.3704095315919,-0.201091353477755,0.962127986878208,0.114007178595127,235.887887373543,7.85330123702714,3370.07084644133,908.067664831796,375142,FALSE,1.55196482098763
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_63","20181005_R02_001.czi",0,63,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_63",1876.67346938776,14,5.79806683186245,7.01937079430412,2156,1240.62219502882,1291,1335,334.362762364352,396406085,1362.90206205174,193.362898657674,891.671884987879,399.630280188662,236609,82913,60,0,55.7937262535913,45.9435437935416,29.871529972897,108.000450388627,0.996581798004651,0.0209323948380263,0.0799159228950212,191.713536286907,90.1275385046147,0.0326798828747931,-0.988349447962122,-0.14865192218151,390.321466858521,62.9076057548199,0.0758732175481427,0.150755442884537,-0.985655138118591,673.41532319931,0.871064686806266,0.958620107419159,1.12424491579136,24206,0.000218562221711128,332.605705444791,0.857314837231942,4.96258554843926,0.000157620899532442,12.7574522386525,-0.198159720708483,0.963972629836532,0.101402288151691,267.316272594706,8.0546791693034,4405.36616977762,1184.4929688056,319522,FALSE,1.52847934873518
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_9","20181005_R02_001.czi",0,9,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_9",1863.13492063492,18,5.78498737457139,6.76830059067317,2301,1180.72245201999,1216,1215,278.448049355689,733891028,1258.80178142911,164.111082419003,863.430239189233,397.130406944912,498813,122748,79,0,65.7254782716419,49.81374635796,37.1358772509858,133.050063473178,0.99570786359761,0.0899582158357285,0.0217570626127527,345.18301565975,107.022233089814,0.0912749437299747,-0.915536339567458,-0.391742384199758,546.161545803827,86.7529710294815,0.0153210644856251,-0.392046847117884,0.919817663805144,959.785662404931,0.774955068929404,0.933088848214192,1.21954915668651,35396,0.000374233223235146,215.844633067042,0.836755994533146,4.69527101107529,0.000189710416528016,12.0757385135372,-0.181232717616599,0.945350413500889,0.117920065340256,226.340867411241,7.60907696890979,2465.2795682183,670.281050321335,621561,FALSE,1.45790791692811
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_17","20181005_R02_001.czi",0,17,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_17",2132.42207792208,22,5.75813155424398,6.98289521193041,2576,1318.01168636145,1348,1383,314.194948500351,818008137,1402.05739961301,205.073342149637,964.926438053097,427.110150021849,501310,119328,98,0,59.3453687979144,46.8303213789681,48.9093013963051,132.548402377303,0.918959499512238,0.391376032653848,-0.0483553442791154,338.680348112991,111.674182694899,-0.141224882805402,0.441100463985313,0.886276431565537,608.735027869653,84.6650711662886,0.368196918418417,-0.807623168152125,0.460625495962942,894.469641092605,0.830936383546529,0.925544778032696,1.24358939934586,34676,0.000346093950761871,206.492864677831,0.859051287041463,4.67901396297848,0.000192774275409031,12.1924948981914,-0.192695062132788,0.955274958312186,0.119981316684738,232.883815750111,7.72020566024726,2747.12404354603,738.404227055966,620638,FALSE,1.45301998610578
"20181005_R02_001-Scene-01-P86-A02_seg_0_cid_31","20181005_R02_001.czi",0,31,"Control","20181005_R02_001-Scene-01-P86-A02_seg_0_cid_31",2309.4693877551,14,5.40422817794939,6.98085969515331,3218,1293.28582547025,1317,1314,330.12279625293,887346684,1387.15069768959,220.122492941788,907.3415831626,415.537005841948,551893,134225,98,0,69.0359821488432,56.9417592892185,46.7504015344299,145.833179466945,-0.845606731866938,0.266633297856622,0.46244560706684,350.485247241127,109.088474224917,0.386336678521664,0.903512444303696,0.185497260942607,616.099309025296,92.2433274731169,0.368365614369969,-0.335517432427085,0.867026427905962,1088.77804171363,0.822422031220638,0.946771302177241,1.1606142887116,39831,0.000668643085334462,131.441673653793,0.869284463423406,4.32311121914755,0.000254208875509452,11.374691462894,-0.209043256177709,0.957821009585405,0.154513024074699,186.683489372897,7.3293722510197,1901.07064092997,508.128078645941,686118,FALSE,1.52880758848788
