dna_volume,dna_shape_1st_axis_x,dna_shape_1st_axis_y,dna_shape_1st_axis_z,dna_shape_2nd_axis_x,dna_shape_2nd_axis_y,dna_shape_2nd_axis_z,dna_shape_3rd_axis_x,dna_shape_3rd_axis_y,dna_shape_3rd_axis_z,dna_shape_1st_axis_length,dna_shape_2nd_axis_length,dna_shape_3rd_axis_length,dna_shape_1st_eigenvalue,dna_shape_2nd_eigenvalue,dna_shape_3rd_eigenvalue,dna_shape_meridional_eccentricity,dna_shape_equator_eccentricity,dna_position_lowest_z,dna_position_highest_z,dna_position_x_centroid,dna_position_y_centroid,dna_position_z_centroid,dna_intensity_mean,dna_intensity_median,dna_intensity_sum,dna_intensity_mode,dna_intensity_max,dna_intensity_std,dna_intensity_entropy,dna_texture_haralick_ang2nd_moment,dna_texture_haralick_contrast,dna_texture_haralick_corr,dna_texture_haralick_variance,dna_texture_haralick_inv_diff_moment,dna_texture_haralick_sum_mean,dna_texture_haralick_sum_var,dna_texture_haralick_sum_entropy,dna_texture_haralick_entropy,dna_texture_haralick_diff_var,dna_texture_haralick_diff_entropy,dna_texture_haralick_info_corr1,dna_texture_haralick_info_corr2,dna_io_intensity_outer_volume,dna_io_intensity_outer_mean,dna_io_intensity_outer_slice_mean,dna_io_intensity_mid_volume,dna_io_intensity_mid_mean,dna_io_intensity_mid_slice_mean,dna_io_intensity_inner_volume,dna_io_intensity_inner_mean,dna_io_intensity_inner_slice_mean,dna_bright_spots_number,dna_bright_spots_number_used,dna_bright_spots_intensity_mean,dna_bright_spots_xy_cross_sec_area_mean,dna_bright_spots_xy_cross_sec_area_std,dna_surface_area,dna_roundness_sphericity,dna_roundness_roughness,dna_roundness_roughness_xy,dna_roundness_roughness_xz,dna_roundness_roughness_yz,cell_id
539965,0.5526463894371082,0.8334007888427855,0.005009331128098204,0.8332801172697036,-0.5526548783902644,0.014725201337536693,-0.015040425695987604,0.003963653323059703,0.9998790302067635,181.9438713535781,108.54799811246954,37.51826259742851,99.43121644880634,701.2789827797591,2094.9992298556494,0.9988730813909602,0.9898973996254863,0,36,72.07738464530108,84.15940662820738,18.043813950904227,731.7486244478808,770.0,395118646,787,1316,175.69130533519512,6.123670193623455,0.00041249945218882787,311.08306523942633,0.7727082178042988,722.1703228605176,0.11332415977477367,246.92761065604958,2577.598226202645,7.5142990326129215,11.981030707085147,0.0001769853109603462,4.822806735919089,-0.169221401837929,0.9345205240461699,102982,655.165116233905,783.5490683229814,86157,790.4531726963567,805.8421395955643,225574,792.309605716971,812.8469127102968,14,14,1002.8173446294923,99.71428571428571,126.24377131533406,54070,0.8754447760520199,18.931515042552654,13.341254744034751,15.439823434142154,21.05946645352993,20181012_R01-Scene-01-P12-A01_seg_0_cid_1
714925,0.973641423512685,0.18770450980439846,0.1295738994523304,0.1692921641328625,-0.9754346995667591,0.14095144569786636,0.15284809970491725,-0.11530032038202229,-0.9815005321121323,154.18407084223284,133.0465636942024,66.07933382278264,224.24944829479824,863.5838589144848,1282.000008302592,0.9845823713423355,0.9656965935947849,0,66,76.1961114802252,67.12605657936147,30.804485785222226,1060.1566108333043,1119.0,757932465,1150,2780,266.540700543236,6.5994136212914345,0.0010180716600673519,103.10356933478019,0.8439116777897275,339.63912144438297,0.17385606410295995,167.53193646772738,1255.4529164427497,6.946313201197298,10.761513229096483,0.00029196069054874364,4.120865777711202,-0.2013168485037395,0.9478845387606316,136963,907.9902528420084,1061.8092328581126,110014,1171.174723217045,1172.1778084079945,302592,1168.2336644722927,1167.9749671949128,9,9,1824.8038733503304,76.55555555555556,153.76613636089718,61902,0.9347686580892369,12.404548670328591,5.387737273266199,16.79629794317341,12.459267497405303,20181012_R01-Scene-01-P12-A01_seg_0_cid_2
650836,0.9910607727741422,-0.13190133962642034,0.02001452655138276,-0.13224235901824835,-0.9910751783848171,0.016791345115612456,-0.01762109955732049,0.019288011671984493,0.9996586764771926,189.09755375992683,111.3626827108215,45.79660530140783,132.37925322505805,708.0849024741095,2250.656427871869,0.9982687190221926,0.982368682903009,0,44,95.49280463895667,57.25657769391982,21.10910429048178,863.9680395675715,913.0,562301503,936,2368,240.68480696290774,6.492390267846043,0.0008528275122287284,114.3749205109276,0.8434998701673568,374.8331104225393,0.1625816668925821,144.8285434989887,1384.957521179231,7.05201742778527,10.985599288874301,0.00026866582994419097,4.234628445623489,-0.19587708270748605,0.9459655664217169,149136,757.3131772342024,936.1437535653166,116878,958.1010113109396,953.1385542168674,207207,973.4213033343468,975.8162454568507,17,17,1587.7736072835341,77.0,152.26640740337118,59962,0.9049148624947788,19.02449871573497,14.84666724675967,24.835117659830818,12.074865779395788,20181012_R01-Scene-01-P12-A01_seg_0_cid_3
406690,-0.075427731209943,0.9968900476813592,0.022823019046085857,-0.9940691303617043,-0.07337669401795284,-0.08026471726057934,-0.07834042013191937,-0.02874184421454447,0.9965122603183069,138.40006642635925,112.79189199603563,42.98499067434406,106.45768957661119,686.2756386341842,1100.002381450393,0.995305845847552,0.9878950372205401,0,41,58.7388649831567,67.83588974403108,20.553559222011852,905.5257173768719,963.0,368268254,981,1954,255.44670242814016,6.612935896931251,0.0004458589088845198,207.1832205816557,0.8388749732790513,668.1921483554512,0.12559783978474617,199.51687381943958,2465.585372840144,7.548441391367097,11.842514037252736,0.0002002172466845774,4.631135670586965,-0.19845316856148779,0.9569514012507898,99870,784.0158906578553,927.4164759725401,76100,1020.0759789750329,1011.0301418439716,112201,1055.6347804386771,1067.491468493887,11,11,1490.3329989849726,22.90909090909091,6.815150841451385,42682,0.9280557951920704,12.849346572616799,5.358723510601759,12.806804067022027,17.026016388113884,20181012_R01-Scene-01-P12-A01_seg_0_cid_4
677287,0.9465263702493946,-0.32203321054793993,0.01955611737263347,-0.3216541662027582,-0.9466410067037905,-0.02023367962686729,-0.025028539448285713,-0.012861404706350055,0.9996039998329663,166.13124060024316,127.13236602776472,48.01950973709381,150.51613312924988,897.9515870201604,1649.6773067675035,0.9958289558646957,0.9858513985521531,0,47,82.51554067920985,66.84008994709775,22.739141604666855,857.2374827805643,903.0,580595803,929,2141,230.87421377629016,6.441160899849813,0.0007227003331097341,133.5601521910443,0.8424004705556505,438.05166937680275,0.15594371883030622,166.06161024709994,1618.646525316166,7.186670035456212,11.170124861934609,0.00025553328065259595,4.309483174646622,-0.20343248510848155,0.9531404541029225,144516,740.6424548146917,916.5410471881061,117481,951.047522578119,956.303738317757,241433,957.4801621982082,960.1250312578145,13,13,1485.645629551423,25.692307692307693,10.80871881246172,60052,0.9281617372362431,15.632969702381583,7.454823675156325,21.103992314854768,15.159253485997883,20181012_R01-Scene-01-P12-A01_seg_0_cid_5
631736,0.05307508531546101,0.996702121497868,-0.06138335540197931,0.9979596537820008,-0.05512592007878184,-0.03221276701522018,0.03549034716744347,0.059548416747356864,0.9975943170050726,190.17176823404668,123.39053442108315,52.76960036523436,146.41199859298297,723.9573020226125,2078.8897639960933,0.9975168671174593,0.9793363117926063,0,52,57.915865171527344,102.34949884128814,26.253150050020896,981.486907505667,1031.0,620040613,1078,2666,260.63305622272526,6.660083844732628,0.0008927483287905711,119.94232985023228,0.855987154879644,428.77852594228,0.17171580650144952,163.03859105068088,1595.1717739188894,7.121681276250832,10.95563241250854,0.0002836545635111085,4.187805149065233,-0.2183931115430189,0.9602324706638415,145501,870.4849382478471,1005.5104166666666,117033,1096.0184563328291,1112.2571588994947,194120,1092.2188543169173,1093.0416427340608,8,8,2121.687319806685,19.5,3.278719262151,61880,0.8597361659135822,18.515539598050132,14.510505321759052,13.1217904365813,24.53791015579142,20181012_R01-Scene-01-P12-A01_seg_0_cid_6
577861,0.6261992416197616,-0.77885091112458,0.03557763391861369,-0.778301016268687,-0.6271502421836023,-0.030497570463532287,-0.04606558227098622,0.008592553139783328,0.998901461687075,138.04983238507913,117.40159497557775,57.13806023749889,197.37396777258868,736.1464517220961,1108.3472754800423,0.9840160969750568,0.9633861348613448,0,55,65.76971624664063,65.16474204004076,25.53843398325895,923.1606216719938,966.0,533458520,975,2698,239.01607407691614,6.450458102123,0.0012342363722499998,91.44838017603965,0.8467471771414066,305.2604122864435,0.18369097364135917,139.27478014874643,1129.5932689697356,6.821329799637403,10.551266986616257,0.0003079046957231596,4.05920921108964,-0.19954551136025292,0.9434766096099368,113540,807.6700898361811,1016.331534309946,92335,1002.7033194346673,1000.2352941176471,234246,1019.7519573439888,1028.3915386379272,17,17,1601.8840531411756,138.64705882352942,212.32215843368238,51718,0.9685757213481133,11.286812525426674,3.9397546654222384,12.950819441385265,13.739693208762105,20181012_R01-Scene-01-P12-A01_seg_0_cid_7
400943,0.997389591086096,0.041655933291208334,0.05898124121064639,0.04129579259629607,-0.999120206568867,0.007312341596788381,-0.05923395231582745,0.004857576290995284,0.998232309057177,128.71721001034481,120.62570262878823,43.39209374525706,110.55134378105299,774.7312328080773,936.6321246858707,0.993009946700013,0.9897665091445443,0,41,62.41729622415156,63.68607008976338,20.366560832836587,904.9375272794388,955.0,362828367,990,2245,259.2672286589198,6.675187226588027,0.0005587723806103806,153.06856649418282,0.8547544290320517,543.7820972105908,0.14281174964328416,170.1308615139166,2022.0598223481827,7.419217284935769,11.528878837489852,0.00023158694357549062,4.437711900991175,-0.21047509577696183,0.9610741046355329,96158,790.6452921233803,951.6628787878788,72589,1023.8313105291435,1013.0708878183069,118638,1026.263600195553,1047.193319700068,10,10,1566.4753833001062,72.7,150.47195752033002,41874,0.9363329662580404,12.266263561413028,4.052358154150725,15.544405166447888,13.634721635547168,20181012_R01-Scene-01-P12-A01_seg_0_cid_8
874851,0.7416543287966032,-0.6700179248656987,0.03201307445283958,-0.6685767464638547,-0.7422404023127215,-0.04565434549367749,-0.05435062708991823,-0.012456545801776985,0.9984442116621344,171.2513434261011,152.3108268479627,54.723163542550765,172.42348216132038,1270.852369315129,1687.5553892113548,0.9947665911459697,0.9907533341096417,0,55,80.44484832274296,83.13930600753729,26.219572247159803,915.0307023710324,954.0,800515525,965,2090,237.20816046268956,6.568545428971699,0.0005843740577621009,145.73768103001117,0.8595090700459914,533.4853020545955,0.1456009717809731,190.09690854148036,1988.203527188369,7.403904449020184,11.502173444443754,0.00023888158441636839,4.385988941061457,-0.21046933946632726,0.9608181044880811,174264,778.284132121379,938.6345926800473,143335,997.6080161858583,987.0236650485436,346476,1030.9216136182592,1025.7084267440327,21,21,1474.6640224756857,50.095238095238095,105.62958855038804,72722,0.9097680884121617,16.33322752507181,4.095766006864098,19.414118499168417,19.727226235235655,20181012_R01-Scene-01-P12-A01_seg_0_cid_9
428102,0.995044933140029,0.09784859047601031,0.017641835908242455,0.09885436908433404,-0.9926269414352387,-0.0701396382216322,-0.010648696882417067,-0.07153606418290846,0.997381169250716,145.68667924378482,95.72573438360895,51.501589647375496,147.53549404425564,502.0937049207003,1199.642182453582,0.9924087879058598,0.9558544486042848,0,50,71.21994057490971,49.81802467636218,21.153862864457537,856.7622996388711,899.0,366781654,942,1707,210.7052507226561,6.4148645379096685,0.0004515820845260579,216.27825052387308,0.818341156209137,614.6583328196873,0.12436584787237356,219.13211310262906,2242.3550807548772,7.487088634689363,11.811493163599172,0.00019960497842997266,4.633515328415059,-0.18556160578882647,0.9479338133353633,84704,755.8365484510767,881.5668647845469,63954,926.1631485129938,945.3014705882352,178723,946.6886802482053,959.1899286857808,9,9,1351.3359735427784,39.111111111111114,50.01431893733466,42694,0.9556305812787543,12.597248218477878,9.284585364719836,17.054447845231937,8.509654693109075,20181012_R01-Scene-01-P12-A01_seg_0_cid_10
