cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181012_R01-Scene-01-P12-A01_seg_0_cid_1,20181012_R01-Scene-01-P12-A01.czi,0,1,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_2,20181012_R01-Scene-01-P12-A01.czi,0,2,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_3,20181012_R01-Scene-01-P12-A01.czi,0,3,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_4,20181012_R01-Scene-01-P12-A01.czi,0,4,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_5,20181012_R01-Scene-01-P12-A01.czi,0,5,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_6,20181012_R01-Scene-01-P12-A01.czi,0,6,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_7,20181012_R01-Scene-01-P12-A01.czi,0,7,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_8,20181012_R01-Scene-01-P12-A01.czi,0,8,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_9,20181012_R01-Scene-01-P12-A01.czi,0,9,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_10,20181012_R01-Scene-01-P12-A01.czi,0,10,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-01-P12-A01_seg_0_cid_11,20181012_R01-Scene-01-P12-A01.czi,0,11,TSA-50nm,hiPS,H2B,ZSD,yes
20181012_R01-Scene-02-P13-A01_seg_0_cid_1,20181012_R01-Scene-02-P13-A01.czi,0,1,TSA-50nm,hiPS,H2B,ZSD,yes
