cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181016_R01-Scene-01-P6-B02_seg_0_cid_1,20181016_R01.czi,0,1,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_2,20181016_R01.czi,0,2,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_3,20181016_R01.czi,0,3,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_4,20181016_R01.czi,0,4,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_5,20181016_R01.czi,0,5,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_6,20181016_R01.czi,0,6,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_7,20181016_R01.czi,0,7,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-01-P6-B02_seg_0_cid_8,20181016_R01.czi,0,8,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_1,20181016_R01.czi,1,1,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_2,20181016_R01.czi,1,2,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_3,20181016_R01.czi,1,3,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_4,20181016_R01.czi,1,4,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_5,20181016_R01.czi,1,5,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_6,20181016_R01.czi,1,6,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_7,20181016_R01.czi,1,7,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_8,20181016_R01.czi,1,8,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_9,20181016_R01.czi,1,9,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_10,20181016_R01.czi,1,10,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_11,20181016_R01.czi,1,11,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_12,20181016_R01.czi,1,12,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_13,20181016_R01.czi,1,13,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_14,20181016_R01.czi,1,14,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-02-P1-B02_seg_0_cid_15,20181016_R01.czi,1,15,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_1,20181016_R01.czi,2,1,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_2,20181016_R01.czi,2,2,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_3,20181016_R01.czi,2,3,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_4,20181016_R01.czi,2,4,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_5,20181016_R01.czi,2,5,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_6,20181016_R01.czi,2,6,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_7,20181016_R01.czi,2,7,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_8,20181016_R01.czi,2,8,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_9,20181016_R01.czi,2,9,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_10,20181016_R01.czi,2,10,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_11,20181016_R01.czi,2,11,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_12,20181016_R01.czi,2,12,TSA-50nm,hiPS,CBX1,ZSD,no
20181016_R01-Scene-03-P2-B02_seg_0_cid_13,20181016_R01.czi,2,13,TSA-50nm,hiPS,CBX1,ZSD,no
