date;cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;minipipeline;raw_name;raw_path;seg_path
20180817_R04;hiPS;H2B;ZSD;0.108;0.29;Control;no;20180817_R04.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20180817;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180817_R04/shape/
20181005_R01_003;hiPS;H2B;ZSD;0.108;0.29;TSA-50nm;no;20181005_R01_003.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181005;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181005_R01_003/shape/
20181016_R02;hiPS;CBX1;ZSD;0.108;0.29;Control;no;20181016_R02.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181016;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181016_R02/shape/
20181016_R01;hiPS;CBX1;ZSD;0.108;0.29;TSA-50nm;no;20181016_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181016;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181016_R01/shape/
20181016;hiPS;H2B;880;0.05;0.22;2;Control;no;20181016_C04_011_Out.czi;/allen/aics/assay-dev/MicroscopyData/Caroline/2018/20181016;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/880_HIPSC_H2B_No_1/shape/
20181106;hiPS;H2B;880;0.05;0.22;2;TSA-50nm;no;20181106_J01_001-020_Out.czi;/allen/aics/assay-dev/MicroscopyData/Caroline/2018/20181106;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/880_HIPSC_H2B_TSA_1/shape/
20181026;hiPS;CBX1;880;0.05;0.22;2;TSA-50nm;no;20181026_J02_013_Out.czi;/allen/aics/assay-dev/MicroscopyData/Jamie/2018/20181026;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/880_HIPSC_CBX1_TSA_1/shape/
20181026;hiPS;CBX1;880;0.05;0.22;2;Control;no;20181026_J03_010_Out.czi;/allen/aics/assay-dev/MicroscopyData/Jamie/2018/20181026;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/880_HIPSC_CBX1_No_1/shape/
20181107_R04;cardiomyocyte;H2B;ZSD;0.108;0.29;TSA-50um;no;20181107_R04.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181107;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181107_R04/shape/
20181003_M01_001;cardiomyocyte;H2B;ZSD;0.108;0.29;Control;no;20181003_M01_001.czi;/allen/aics/assay-dev/MicroscopyData/Melissa/2018/20181003;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181003_M01_001/shape/
20181107_R03;cardiomyocyte;CBX1;ZSD;0.108;0.29;Control;no;20181107_R03.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181107;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181107_R03/shape/
20181107_R01;cardiomyocyte;CBX1;ZSD;0.108;0.29;TSA-50um;no;20181107_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181107;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181107_R01/shape/
