date;cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;minipipeline;raw_name;raw_path;seg_path;minipipeline_seg_path
20181026;hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;yes;20181026_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181026;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181026_R01/shape/;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181026_R01/nuc_cell_segmentation
20181012;hiPS;H2B;ZSD;0.108;0.29;1;Control;yes;20181012_R02.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181012;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181012_R02/shape/;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181012_R02/nuc_cell_segmentation
20181026;hiPS;H2B;ZSD;0.108;0.29;1;Control;yes;20181026_R02.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181026;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181026_R02/shape/;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181026_R02/nuc_cell_segmentation
20181019;hiPS;CBX1;ZSD;0.108;0.29;1;TSA-50nm;yes;20181019_R03.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181019;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181019_R03/shape/;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181019_R03/nuc_cell_segmentation
20181019;hiPS;CBX1;ZSD;0.108;0.29;1;Control;yes;20181019_R04.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181019;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181019_R04/shape/;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181019_R04/nuc_cell_segmentation
