cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;czi_name;czi_path;seg_path;seg_suffix;channel;channel_name;feature
hiPS;H2B;ZSD;0.108;0.29;1;TSA-50nm;20181026_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181026;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181026_R01/nuc_cell_segmentation;["_nucWholeIndexImageScale.tiff", "_cellWholeIndexImageScale.tiff", "_nucWholeIndexImageScale.tiff"];[2,0,1];["dna","mem","str"];[["roudness"],["roudness"],["roundness", "io_intensity", "bright_spots"]]
hiPS;H2B;ZSD;0.108;0.29;1;Control;20181012_R02.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181012;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181012_R02/nuc_cell_segmentation;["_nucWholeIndexImageScale.tiff", "_cellWholeIndexImageScale.tiff", "_nucWholeIndexImageScale.tiff"];[2,0,1];["dna","mem","str"];[["roudness"],["roudness"],["roundness", "io_intensity", "bright_spots"]]
hiPS;H2B;ZSD;0.108;0.29;1;Control;20181026_R02.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181026;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181026_R02/nuc_cell_segmentation;["_nucWholeIndexImageScale.tiff", "_cellWholeIndexImageScale.tiff", "_nucWholeIndexImageScale.tiff"];[2,0,1];["dna","mem","str"];[["roudness"],["roudness"],["roundness", "io_intensity", "bright_spots"]]
hiPS;CBX1;ZSD;0.108;0.29;1;TSA-50nm;20181019_R03.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181019;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181019_R03/nuc_cell_segmentation;["_nucWholeIndexImageScale.tiff", "_cellWholeIndexImageScale.tiff", "_nucWholeIndexImageScale.tiff"];[2,0,1];["dna","mem","str"];[["roudness"],["roudness"],["roundness", "io_intensity", "bright_spots"]]
hiPS;CBX1;ZSD;0.108;0.29;1;Control;20181019_R04.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181019;/allen/aics/assay-dev/MiniPipelineImageProcessing/NucleusCellSegmentationResults/delivery_form/20181019_R04/nuc_cell_segmentation;["_nucWholeIndexImageScale.tiff", "_cellWholeIndexImageScale.tiff", "_nucWholeIndexImageScale.tiff"];[2,0,1];["dna","mem","str"];[["roudness"],["roudness"],["roundness", "io_intensity", "bright_spots"]]
