experiment_id;cell_type;structure;modality;pixel_size_xy;pixel_size_z;xy_upsample_seg;condition;minipipeline;force_single_scene;raw_name;raw_path;seg_path
20181016_R01;hiPS;CBX1;ZSD;0.108;0.29;1;TSA-50nm;no;no;20181016_R01.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181016;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181016_R01/shape/
20181019_R03;hiPS;CBX1;ZSD;0.108;0.29;1;TSA-50nm;yes;no;20181019_R03.czi;/allen/aics/assay-dev/MicroscopyData/Ruian/2018/20181019;/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20181019_R03/shape/
